proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,trade_history_link,auto_trade_id
91,3834,usr013@gt.edu,usr518@gt.edu,2022-04-15,,unacccepted,placeholder.com,42
92,672,usr013@gt.edu,usr090@gt.edu,2022-04-27,2022-05-23,accepted,placeholder.com,43
96,4064,usr014@gt.edu,usr549@gt.edu,2022-05-16,2022-05-17,accepted,placeholder.com,44
98,1008,usr014@gt.edu,usr136@gt.edu,2022-05-26,2022-06-02,accepted,placeholder.com,45
99,5752,usr014@gt.edu,usr773@gt.edu,2022-05-27,,unacccepted,placeholder.com,46
101,4078,usr014@gt.edu,usr551@gt.edu,2022-04-15,,unacccepted,placeholder.com,47
104,5330,usr014@gt.edu,usr721@gt.edu,2022-04-21,2022-05-16,rejected,placeholder.com,48
112,2456,usr015@gt.edu,usr333@gt.edu,2022-04-19,2022-05-26,accepted,placeholder.com,49
113,1764,usr015@gt.edu,usr236@gt.edu,2022-04-18,2022-05-24,accepted,placeholder.com,50
115,4195,usr016@gt.edu,usr566@gt.edu,2022-04-15,2022-05-03,accepted,placeholder.com,51
116,5288,usr016@gt.edu,usr714@gt.edu,2022-04-28,2022-05-06,accepted,placeholder.com,52
117,2407,usr016@gt.edu,usr325@gt.edu,2022-06-07,,unacccepted,placeholder.com,53
119,33,usr016@gt.edu,usr006@gt.edu,2022-05-02,2022-05-10,rejected,placeholder.com,54
119,6339,usr016@gt.edu,usr853@gt.edu,2022-06-02,,unacccepted,placeholder.com,55
120,2224,usr017@gt.edu,usr299@gt.edu,2022-04-29,2022-06-14,accepted,placeholder.com,56
122,835,usr017@gt.edu,usr110@gt.edu,2022-04-19,2022-05-02,accepted,placeholder.com,57
123,6861,usr017@gt.edu,usr927@gt.edu,2022-04-15,,unacccepted,placeholder.com,58
124,698,usr017@gt.edu,usr093@gt.edu,2022-04-28,2022-05-20,accepted,placeholder.com,59
126,277,usr018@gt.edu,usr040@gt.edu,2022-05-09,2022-05-10,rejected,placeholder.com,60
129,2687,usr018@gt.edu,usr362@gt.edu,2022-06-02,,unacccepted,placeholder.com,61
130,4205,usr018@gt.edu,usr569@gt.edu,2022-04-20,2022-04-25,accepted,placeholder.com,62
132,4798,usr018@gt.edu,usr648@gt.edu,2022-05-31,,unacccepted,placeholder.com,63
135,3182,usr018@gt.edu,usr427@gt.edu,2022-04-15,2022-06-02,accepted,placeholder.com,64
136,5062,usr019@gt.edu,usr682@gt.edu,2022-04-29,2022-05-23,accepted,placeholder.com,65
136,6521,usr019@gt.edu,usr879@gt.edu,2022-04-19,2022-04-26,rejected,placeholder.com,66
137,92,usr019@gt.edu,usr013@gt.edu,2022-04-18,2022-04-27,rejected,placeholder.com,67
137,2188,usr019@gt.edu,usr294@gt.edu,2022-04-28,2022-06-08,accepted,placeholder.com,68
138,83,usr019@gt.edu,usr011@gt.edu,2022-04-26,2022-05-24,accepted,placeholder.com,69
139,3781,usr020@gt.edu,usr512@gt.edu,2022-04-26,2022-04-28,accepted,placeholder.com,70
141,2519,usr020@gt.edu,usr340@gt.edu,2022-04-21,2022-06-08,rejected,placeholder.com,71
143,2840,usr021@gt.edu,usr382@gt.edu,2022-05-31,2022-06-07,accepted,placeholder.com,72
146,6786,usr021@gt.edu,usr916@gt.edu,2022-04-25,2022-06-14,accepted,placeholder.com,73
150,1935,usr022@gt.edu,usr259@gt.edu,2022-04-21,2022-05-19,accepted,placeholder.com,74
151,3067,usr022@gt.edu,usr409@gt.edu,2022-04-25,2022-05-11,accepted,placeholder.com,75
154,6333,usr023@gt.edu,usr852@gt.edu,2022-04-15,2022-04-25,accepted,placeholder.com,76
158,2204,usr024@gt.edu,usr297@gt.edu,2022-05-05,2022-05-25,accepted,placeholder.com,77
161,5669,usr024@gt.edu,usr762@gt.edu,2022-04-20,2022-05-12,accepted,placeholder.com,78
163,4981,usr024@gt.edu,usr673@gt.edu,2022-05-10,2022-05-18,rejected,placeholder.com,79
167,5386,usr024@gt.edu,usr727@gt.edu,2022-04-22,2022-04-25,rejected,placeholder.com,80
170,2809,usr025@gt.edu,usr378@gt.edu,2022-04-20,2022-05-05,accepted,placeholder.com,81
171,2768,usr025@gt.edu,usr372@gt.edu,2022-04-25,2022-06-08,rejected,placeholder.com,82
172,6800,usr025@gt.edu,usr919@gt.edu,2022-04-15,2022-04-22,accepted,placeholder.com,83
174,1480,usr026@gt.edu,usr198@gt.edu,2022-04-18,2022-05-31,accepted,placeholder.com,84
176,3048,usr026@gt.edu,usr406@gt.edu,2022-04-15,2022-05-24,accepted,placeholder.com,85
179,2528,usr026@gt.edu,usr342@gt.edu,2022-05-10,2022-05-23,rejected,placeholder.com,86
181,2639,usr027@gt.edu,usr357@gt.edu,2022-04-18,2022-04-26,accepted,placeholder.com,87
182,446,usr027@gt.edu,usr060@gt.edu,2022-05-10,,unacccepted,placeholder.com,88
182,3865,usr027@gt.edu,usr523@gt.edu,2022-04-26,2022-05-10,rejected,placeholder.com,89
183,5097,usr027@gt.edu,usr687@gt.edu,2022-04-21,2022-04-26,accepted,placeholder.com,90
186,5788,usr028@gt.edu,usr777@gt.edu,2022-04-26,2022-05-03,accepted,placeholder.com,91
187,4633,usr028@gt.edu,usr627@gt.edu,2022-04-27,,unacccepted,placeholder.com,92
188,5399,usr028@gt.edu,usr729@gt.edu,2022-05-16,2022-05-24,rejected,placeholder.com,93
189,2191,usr028@gt.edu,usr294@gt.edu,2022-04-19,2022-05-11,rejected,placeholder.com,94
189,4118,usr028@gt.edu,usr555@gt.edu,2022-05-12,2022-05-25,accepted,placeholder.com,95
190,3188,usr028@gt.edu,usr428@gt.edu,2022-05-26,,unacccepted,placeholder.com,96
191,595,usr028@gt.edu,usr082@gt.edu,2022-05-04,2022-06-01,accepted,placeholder.com,97
193,6934,usr029@gt.edu,usr936@gt.edu,2022-05-20,2022-06-07,accepted,placeholder.com,98
194,6668,usr029@gt.edu,usr899@gt.edu,2022-04-20,2022-04-25,rejected,placeholder.com,99
195,5792,usr029@gt.edu,usr778@gt.edu,2022-04-22,2022-05-20,accepted,placeholder.com,100
196,6008,usr029@gt.edu,usr806@gt.edu,2022-05-30,,unacccepted,placeholder.com,101
197,7197,usr029@gt.edu,usr971@gt.edu,2022-04-21,2022-05-25,rejected,placeholder.com,102
198,4617,usr030@gt.edu,usr626@gt.edu,2022-04-19,2022-04-26,accepted,placeholder.com,103
199,1392,usr030@gt.edu,usr188@gt.edu,2022-05-30,2022-06-13,accepted,placeholder.com,104
200,2783,usr030@gt.edu,usr374@gt.edu,2022-05-26,,unacccepted,placeholder.com,105
211,1052,usr031@gt.edu,usr142@gt.edu,2022-04-27,2022-05-17,rejected,placeholder.com,106
211,5400,usr031@gt.edu,usr730@gt.edu,2022-06-01,2022-06-03,rejected,placeholder.com,107
212,6518,usr031@gt.edu,usr879@gt.edu,2022-04-25,2022-05-13,rejected,placeholder.com,108
213,1496,usr031@gt.edu,usr201@gt.edu,2022-05-12,2022-05-23,accepted,placeholder.com,109
213,5071,usr031@gt.edu,usr683@gt.edu,2022-04-19,2022-05-12,rejected,placeholder.com,110
214,4636,usr031@gt.edu,usr628@gt.edu,2022-05-19,2022-05-26,accepted,placeholder.com,111
219,1910,usr032@gt.edu,usr255@gt.edu,2022-04-20,2022-04-29,accepted,placeholder.com,112
221,4860,usr032@gt.edu,usr656@gt.edu,2022-05-04,2022-05-20,accepted,placeholder.com,113
222,700,usr033@gt.edu,usr093@gt.edu,2022-05-05,,unacccepted,placeholder.com,114
222,874,usr033@gt.edu,usr116@gt.edu,2022-04-15,2022-04-29,rejected,placeholder.com,115
223,2743,usr033@gt.edu,usr370@gt.edu,2022-05-06,2022-05-18,accepted,placeholder.com,116
224,3312,usr033@gt.edu,usr447@gt.edu,2022-04-19,2022-05-30,rejected,placeholder.com,117
225,5919,usr033@gt.edu,usr796@gt.edu,2022-04-25,2022-05-03,accepted,placeholder.com,118
226,984,usr034@gt.edu,usr132@gt.edu,2022-05-05,2022-05-06,rejected,placeholder.com,119
227,1016,usr034@gt.edu,usr138@gt.edu,2022-04-22,2022-05-05,accepted,placeholder.com,120
229,1246,usr034@gt.edu,usr168@gt.edu,2022-04-18,,unacccepted,placeholder.com,121
237,1274,usr035@gt.edu,usr173@gt.edu,2022-05-09,2022-05-11,rejected,placeholder.com,122
239,6434,usr035@gt.edu,usr867@gt.edu,2022-04-21,2022-05-06,rejected,placeholder.com,123
241,5904,usr035@gt.edu,usr793@gt.edu,2022-04-15,2022-04-27,accepted,placeholder.com,124
242,5726,usr036@gt.edu,usr770@gt.edu,2022-05-06,2022-06-08,rejected,placeholder.com,125
246,4511,usr036@gt.edu,usr611@gt.edu,2022-05-04,,unacccepted,placeholder.com,126
247,449,usr036@gt.edu,usr060@gt.edu,2022-05-18,2022-05-19,accepted,placeholder.com,127
249,4737,usr036@gt.edu,usr640@gt.edu,2022-04-27,2022-06-13,accepted,placeholder.com,128
250,1922,usr037@gt.edu,usr257@gt.edu,2022-04-20,2022-05-04,accepted,placeholder.com,129
253,1180,usr037@gt.edu,usr159@gt.edu,2022-04-19,2022-04-29,rejected,placeholder.com,130
253,2864,usr037@gt.edu,usr385@gt.edu,2022-05-13,2022-06-14,rejected,placeholder.com,131
254,1614,usr038@gt.edu,usr214@gt.edu,2022-04-20,2022-04-26,accepted,placeholder.com,132
256,5903,usr038@gt.edu,usr793@gt.edu,2022-04-28,2022-05-04,accepted,placeholder.com,133
258,6088,usr038@gt.edu,usr818@gt.edu,2022-06-10,,unacccepted,placeholder.com,134
264,4211,usr038@gt.edu,usr570@gt.edu,2022-04-18,2022-05-09,accepted,placeholder.com,135
265,2792,usr039@gt.edu,usr376@gt.edu,2022-05-25,2022-06-09,rejected,placeholder.com,136
265,6377,usr039@gt.edu,usr858@gt.edu,2022-06-09,,unacccepted,placeholder.com,137
266,143,usr039@gt.edu,usr021@gt.edu,2022-05-24,2022-05-27,rejected,placeholder.com,138
268,4754,usr039@gt.edu,usr643@gt.edu,2022-05-17,2022-05-23,rejected,placeholder.com,139
269,1216,usr039@gt.edu,usr164@gt.edu,2022-05-12,,unacccepted,placeholder.com,140
271,7068,usr039@gt.edu,usr952@gt.edu,2022-04-22,,unacccepted,placeholder.com,141
272,6659,usr039@gt.edu,usr898@gt.edu,2022-06-07,2022-06-08,accepted,placeholder.com,142
274,4276,usr039@gt.edu,usr578@gt.edu,2022-05-27,,unacccepted,placeholder.com,143
275,3335,usr040@gt.edu,usr451@gt.edu,2022-06-08,,unacccepted,placeholder.com,144
277,5848,usr040@gt.edu,usr785@gt.edu,2022-05-17,2022-06-06,rejected,placeholder.com,145
278,1428,usr040@gt.edu,usr193@gt.edu,2022-05-02,,unacccepted,placeholder.com,146
279,1210,usr040@gt.edu,usr163@gt.edu,2022-04-18,2022-04-20,rejected,placeholder.com,147
280,460,usr040@gt.edu,usr063@gt.edu,2022-04-25,2022-04-28,accepted,placeholder.com,148
281,323,usr040@gt.edu,usr046@gt.edu,2022-04-29,2022-05-25,rejected,placeholder.com,149
283,53,usr041@gt.edu,usr008@gt.edu,2022-04-19,2022-04-25,rejected,placeholder.com,150
284,1644,usr041@gt.edu,usr217@gt.edu,2022-04-18,2022-05-17,rejected,placeholder.com,151
285,2416,usr041@gt.edu,usr326@gt.edu,2022-04-22,,unacccepted,placeholder.com,152
290,2154,usr042@gt.edu,usr289@gt.edu,2022-04-20,2022-04-29,accepted,placeholder.com,153
291,517,usr042@gt.edu,usr070@gt.edu,2022-06-01,,unacccepted,placeholder.com,154
292,3103,usr042@gt.edu,usr413@gt.edu,2022-04-15,2022-04-20,accepted,placeholder.com,155
295,2158,usr043@gt.edu,usr289@gt.edu,2022-06-10,,unacccepted,placeholder.com,156
296,5030,usr043@gt.edu,usr679@gt.edu,2022-05-12,2022-06-06,accepted,placeholder.com,157
299,2056,usr043@gt.edu,usr275@gt.edu,2022-04-15,2022-04-29,rejected,placeholder.com,158
301,1664,usr043@gt.edu,usr220@gt.edu,2022-06-08,,unacccepted,placeholder.com,159
301,3745,usr043@gt.edu,usr508@gt.edu,2022-04-18,2022-05-17,rejected,placeholder.com,160
302,6536,usr044@gt.edu,usr881@gt.edu,2022-06-08,,unacccepted,placeholder.com,161
304,7202,usr044@gt.edu,usr972@gt.edu,2022-05-20,2022-05-25,accepted,placeholder.com,162
305,5438,usr044@gt.edu,usr734@gt.edu,2022-04-18,2022-05-04,accepted,placeholder.com,163
306,2410,usr044@gt.edu,usr325@gt.edu,2022-05-11,2022-06-13,rejected,placeholder.com,164
307,147,usr044@gt.edu,usr021@gt.edu,2022-05-04,2022-05-23,accepted,placeholder.com,165
308,651,usr044@gt.edu,usr088@gt.edu,2022-05-18,2022-06-08,accepted,placeholder.com,166
309,1009,usr044@gt.edu,usr136@gt.edu,2022-04-20,2022-05-04,rejected,placeholder.com,167
309,5406,usr044@gt.edu,usr730@gt.edu,2022-05-10,2022-05-19,accepted,placeholder.com,168
311,2449,usr045@gt.edu,usr331@gt.edu,2022-04-18,2022-06-01,accepted,placeholder.com,169
312,6689,usr045@gt.edu,usr901@gt.edu,2022-05-27,2022-06-02,rejected,placeholder.com,170
313,3019,usr045@gt.edu,usr403@gt.edu,2022-06-03,2022-06-08,rejected,placeholder.com,171
314,88,usr045@gt.edu,usr012@gt.edu,2022-04-19,2022-04-21,accepted,placeholder.com,172
317,6737,usr045@gt.edu,usr907@gt.edu,2022-04-15,2022-04-25,accepted,placeholder.com,173
319,6126,usr046@gt.edu,usr823@gt.edu,2022-04-25,,unacccepted,placeholder.com,174
320,6921,usr046@gt.edu,usr934@gt.edu,2022-04-26,2022-05-02,rejected,placeholder.com,175
322,2745,usr046@gt.edu,usr370@gt.edu,2022-04-21,2022-04-26,rejected,placeholder.com,176
328,6822,usr047@gt.edu,usr922@gt.edu,2022-04-22,2022-04-25,accepted,placeholder.com,177
329,924,usr047@gt.edu,usr123@gt.edu,2022-05-18,2022-05-25,rejected,placeholder.com,178
330,5640,usr047@gt.edu,usr758@gt.edu,2022-05-05,2022-06-10,accepted,placeholder.com,179
331,3886,usr047@gt.edu,usr524@gt.edu,2022-05-03,2022-05-09,rejected,placeholder.com,180
331,4100,usr047@gt.edu,usr554@gt.edu,2022-04-15,2022-04-27,rejected,placeholder.com,181
335,1538,usr048@gt.edu,usr205@gt.edu,2022-04-15,2022-05-04,accepted,placeholder.com,182
336,7050,usr048@gt.edu,usr949@gt.edu,2022-04-21,2022-05-24,rejected,placeholder.com,183
337,4182,usr048@gt.edu,usr565@gt.edu,2022-04-28,2022-04-29,accepted,placeholder.com,184
338,4650,usr048@gt.edu,usr629@gt.edu,2022-05-02,2022-05-23,rejected,placeholder.com,185
338,5874,usr048@gt.edu,usr790@gt.edu,2022-05-23,,unacccepted,placeholder.com,186
339,4822,usr048@gt.edu,usr651@gt.edu,2022-04-25,2022-05-04,rejected,placeholder.com,187
342,3496,usr049@gt.edu,usr474@gt.edu,2022-04-15,2022-04-27,rejected,placeholder.com,188
342,7325,usr049@gt.edu,usr987@gt.edu,2022-06-02,,unacccepted,placeholder.com,189
343,2058,usr049@gt.edu,usr275@gt.edu,2022-04-25,2022-04-28,accepted,placeholder.com,190
346,961,usr049@gt.edu,usr129@gt.edu,2022-06-01,,unacccepted,placeholder.com,191
349,2149,usr049@gt.edu,usr288@gt.edu,2022-05-03,2022-05-31,accepted,placeholder.com,192
350,5742,usr049@gt.edu,usr772@gt.edu,2022-04-22,2022-05-13,accepted,placeholder.com,193
351,5064,usr049@gt.edu,usr682@gt.edu,2022-05-06,2022-06-03,rejected,placeholder.com,194
355,6884,usr050@gt.edu,usr929@gt.edu,2022-05-27,,unacccepted,placeholder.com,195
356,6855,usr050@gt.edu,usr926@gt.edu,2022-04-27,2022-06-10,accepted,placeholder.com,196
357,3976,usr050@gt.edu,usr535@gt.edu,2022-04-18,2022-05-03,rejected,placeholder.com,197
358,4921,usr050@gt.edu,usr665@gt.edu,2022-05-19,2022-05-24,rejected,placeholder.com,198
359,1903,usr050@gt.edu,usr255@gt.edu,2022-05-02,2022-05-05,accepted,placeholder.com,199
361,1227,usr051@gt.edu,usr165@gt.edu,2022-06-07,,unacccepted,placeholder.com,200
363,6598,usr051@gt.edu,usr889@gt.edu,2022-05-30,,unacccepted,placeholder.com,201
365,5024,usr051@gt.edu,usr678@gt.edu,2022-04-20,,unacccepted,placeholder.com,202
366,5177,usr051@gt.edu,usr699@gt.edu,2022-04-19,2022-04-29,accepted,placeholder.com,203
368,2491,usr052@gt.edu,usr337@gt.edu,2022-05-09,2022-05-17,rejected,placeholder.com,204
368,2656,usr052@gt.edu,usr359@gt.edu,2022-06-06,,unacccepted,placeholder.com,205
370,5413,usr052@gt.edu,usr731@gt.edu,2022-05-16,2022-05-18,accepted,placeholder.com,206
372,6954,usr052@gt.edu,usr938@gt.edu,2022-04-15,,unacccepted,placeholder.com,207
373,2704,usr052@gt.edu,usr364@gt.edu,2022-04-28,2022-05-27,rejected,placeholder.com,208
376,6587,usr052@gt.edu,usr887@gt.edu,2022-05-06,2022-05-16,rejected,placeholder.com,209
379,4336,usr053@gt.edu,usr586@gt.edu,2022-04-25,2022-05-10,accepted,placeholder.com,210
380,4299,usr053@gt.edu,usr581@gt.edu,2022-04-15,2022-04-28,accepted,placeholder.com,211
381,7385,usr053@gt.edu,usr995@gt.edu,2022-04-21,2022-05-30,accepted,placeholder.com,212
384,6289,usr053@gt.edu,usr845@gt.edu,2022-05-02,2022-05-13,accepted,placeholder.com,213
388,909,usr054@gt.edu,usr120@gt.edu,2022-06-06,2022-06-10,accepted,placeholder.com,214
393,7114,usr054@gt.edu,usr959@gt.edu,2022-04-18,2022-04-19,accepted,placeholder.com,215
396,5289,usr055@gt.edu,usr714@gt.edu,2022-04-18,2022-06-01,rejected,placeholder.com,216
398,5786,usr055@gt.edu,usr777@gt.edu,2022-05-02,2022-05-10,rejected,placeholder.com,217
399,251,usr055@gt.edu,usr037@gt.edu,2022-04-27,,unacccepted,placeholder.com,218
401,4073,usr055@gt.edu,usr550@gt.edu,2022-05-24,2022-06-02,accepted,placeholder.com,219
401,5537,usr055@gt.edu,usr745@gt.edu,2022-04-20,2022-05-09,rejected,placeholder.com,220
406,2907,usr056@gt.edu,usr389@gt.edu,2022-05-02,2022-05-26,accepted,placeholder.com,221
409,2296,usr056@gt.edu,usr311@gt.edu,2022-06-03,,unacccepted,placeholder.com,222
410,6351,usr056@gt.edu,usr854@gt.edu,2022-04-27,2022-04-29,accepted,placeholder.com,223
411,2610,usr056@gt.edu,usr354@gt.edu,2022-04-21,2022-04-22,accepted,placeholder.com,224
414,3838,usr057@gt.edu,usr518@gt.edu,2022-05-02,2022-05-16,accepted,placeholder.com,225
415,190,usr057@gt.edu,usr028@gt.edu,2022-04-18,2022-05-25,rejected,placeholder.com,226
418,5237,usr057@gt.edu,usr708@gt.edu,2022-04-26,2022-04-29,accepted,placeholder.com,227
419,4982,usr057@gt.edu,usr673@gt.edu,2022-05-05,2022-05-13,accepted,placeholder.com,228
420,2237,usr057@gt.edu,usr301@gt.edu,2022-04-15,2022-04-20,rejected,placeholder.com,229
426,100,usr058@gt.edu,usr014@gt.edu,2022-04-18,2022-04-21,rejected,placeholder.com,230
426,1377,usr058@gt.edu,usr186@gt.edu,2022-04-28,2022-05-04,rejected,placeholder.com,231
426,5335,usr058@gt.edu,usr721@gt.edu,2022-06-10,,unacccepted,placeholder.com,232
427,2890,usr058@gt.edu,usr387@gt.edu,2022-04-19,2022-05-25,rejected,placeholder.com,233
427,7098,usr058@gt.edu,usr956@gt.edu,2022-05-27,2022-05-31,accepted,placeholder.com,234
428,2772,usr059@gt.edu,usr372@gt.edu,2022-05-30,2022-06-13,rejected,placeholder.com,235
430,3556,usr059@gt.edu,usr482@gt.edu,2022-04-26,2022-04-29,accepted,placeholder.com,236
436,5933,usr059@gt.edu,usr797@gt.edu,2022-04-25,2022-05-25,accepted,placeholder.com,237
440,4144,usr060@gt.edu,usr560@gt.edu,2022-06-10,,unacccepted,placeholder.com,238
441,1711,usr060@gt.edu,usr228@gt.edu,2022-05-31,,unacccepted,placeholder.com,239
445,5405,usr060@gt.edu,usr730@gt.edu,2022-04-18,,unacccepted,placeholder.com,240
450,3493,usr061@gt.edu,usr474@gt.edu,2022-05-04,2022-05-26,rejected,placeholder.com,241
450,4601,usr061@gt.edu,usr623@gt.edu,2022-04-20,2022-05-04,rejected,placeholder.com,242
451,2166,usr061@gt.edu,usr290@gt.edu,2022-05-25,,unacccepted,placeholder.com,243
452,676,usr061@gt.edu,usr090@gt.edu,2022-04-27,2022-05-03,rejected,placeholder.com,244
453,4900,usr061@gt.edu,usr660@gt.edu,2022-05-03,2022-05-17,accepted,placeholder.com,245
454,1346,usr062@gt.edu,usr182@gt.edu,2022-04-15,2022-04-18,accepted,placeholder.com,246
455,3216,usr062@gt.edu,usr431@gt.edu,2022-05-04,2022-06-09,accepted,placeholder.com,247
459,1171,usr063@gt.edu,usr158@gt.edu,2022-04-29,,unacccepted,placeholder.com,248
461,4150,usr063@gt.edu,usr562@gt.edu,2022-05-18,2022-05-20,accepted,placeholder.com,249
464,7326,usr063@gt.edu,usr987@gt.edu,2022-04-15,2022-04-28,rejected,placeholder.com,250
466,3377,usr063@gt.edu,usr456@gt.edu,2022-04-27,2022-05-19,rejected,placeholder.com,251
468,4508,usr063@gt.edu,usr611@gt.edu,2022-05-03,2022-05-06,rejected,placeholder.com,252
470,6120,usr064@gt.edu,usr823@gt.edu,2022-04-25,2022-04-27,accepted,placeholder.com,253
471,713,usr064@gt.edu,usr094@gt.edu,2022-04-15,2022-04-19,rejected,placeholder.com,254
471,2670,usr064@gt.edu,usr361@gt.edu,2022-04-20,2022-04-28,accepted,placeholder.com,255
473,6483,usr065@gt.edu,usr874@gt.edu,2022-04-20,2022-04-21,rejected,placeholder.com,256
474,1849,usr065@gt.edu,usr247@gt.edu,2022-04-21,2022-04-28,accepted,placeholder.com,257
476,1197,usr065@gt.edu,usr161@gt.edu,2022-04-19,2022-04-25,rejected,placeholder.com,258
477,933,usr065@gt.edu,usr125@gt.edu,2022-05-17,2022-05-23,rejected,placeholder.com,259
478,2819,usr065@gt.edu,usr379@gt.edu,2022-06-02,,unacccepted,placeholder.com,260
479,5176,usr065@gt.edu,usr699@gt.edu,2022-04-22,2022-05-10,accepted,placeholder.com,261
480,2257,usr066@gt.edu,usr304@gt.edu,2022-05-03,2022-05-09,accepted,placeholder.com,262
481,6893,usr066@gt.edu,usr930@gt.edu,2022-05-11,2022-05-16,accepted,placeholder.com,263
482,7254,usr066@gt.edu,usr979@gt.edu,2022-04-20,2022-05-16,accepted,placeholder.com,264
484,6385,usr066@gt.edu,usr859@gt.edu,2022-05-02,,unacccepted,placeholder.com,265
485,2532,usr066@gt.edu,usr343@gt.edu,2022-04-22,2022-06-02,rejected,placeholder.com,266
486,7389,usr066@gt.edu,usr995@gt.edu,2022-04-19,2022-05-02,rejected,placeholder.com,267
489,4696,usr067@gt.edu,usr636@gt.edu,2022-05-09,,unacccepted,placeholder.com,268
491,4659,usr067@gt.edu,usr630@gt.edu,2022-04-15,2022-04-28,accepted,placeholder.com,269
495,3566,usr067@gt.edu,usr483@gt.edu,2022-06-02,2022-06-13,rejected,placeholder.com,270
500,1178,usr068@gt.edu,usr159@gt.edu,2022-05-03,,unacccepted,placeholder.com,271
501,4279,usr068@gt.edu,usr578@gt.edu,2022-04-22,2022-04-29,accepted,placeholder.com,272
