item_number,email,platform
283,usr041@gt.edu,Windows
285,usr041@gt.edu,Windows
286,usr042@gt.edu,macOS
287,usr042@gt.edu,Windows
291,usr042@gt.edu,Windows
292,usr042@gt.edu,Windows
293,usr043@gt.edu,Linux
295,usr043@gt.edu,Linux
301,usr043@gt.edu,Windows
302,usr044@gt.edu,macOS
304,usr044@gt.edu,Windows
307,usr044@gt.edu,Windows
314,usr045@gt.edu,macOS
316,usr045@gt.edu,Windows
317,usr045@gt.edu,Windows
318,usr046@gt.edu,macOS
319,usr046@gt.edu,macOS
323,usr046@gt.edu,Windows
333,usr048@gt.edu,macOS
334,usr048@gt.edu,Windows
335,usr048@gt.edu,Windows
337,usr048@gt.edu,Windows
339,usr048@gt.edu,macOS
341,usr049@gt.edu,macOS
343,usr049@gt.edu,Windows
349,usr049@gt.edu,macOS
351,usr049@gt.edu,Windows
352,usr050@gt.edu,macOS
353,usr050@gt.edu,Windows
354,usr050@gt.edu,Windows
365,usr051@gt.edu,Windows
367,usr052@gt.edu,macOS
375,usr052@gt.edu,macOS
378,usr052@gt.edu,Windows
379,usr053@gt.edu,Windows
381,usr053@gt.edu,macOS
383,usr053@gt.edu,Windows
385,usr054@gt.edu,macOS
386,usr054@gt.edu,Linux
387,usr054@gt.edu,Windows
389,usr054@gt.edu,macOS
391,usr054@gt.edu,Windows
398,usr055@gt.edu,Windows
405,usr055@gt.edu,Linux
406,usr056@gt.edu,macOS
409,usr056@gt.edu,Windows
410,usr056@gt.edu,macOS
411,usr056@gt.edu,Windows
412,usr056@gt.edu,macOS
413,usr057@gt.edu,Windows
414,usr057@gt.edu,Linux
415,usr057@gt.edu,Windows
425,usr058@gt.edu,Linux
434,usr059@gt.edu,Windows
437,usr059@gt.edu,Windows
441,usr060@gt.edu,Windows
443,usr060@gt.edu,Windows
445,usr060@gt.edu,Windows
446,usr060@gt.edu,Windows
448,usr060@gt.edu,Windows
450,usr061@gt.edu,Windows
453,usr061@gt.edu,Windows
454,usr062@gt.edu,Windows
455,usr062@gt.edu,Windows
457,usr063@gt.edu,Windows
469,usr064@gt.edu,Windows
470,usr064@gt.edu,macOS
472,usr064@gt.edu,Windows
475,usr065@gt.edu,macOS
480,usr066@gt.edu,Linux
481,usr066@gt.edu,Linux
485,usr066@gt.edu,Windows
488,usr066@gt.edu,Windows
496,usr067@gt.edu,Windows
497,usr067@gt.edu,macOS
499,usr068@gt.edu,macOS
500,usr068@gt.edu,Linux
504,usr068@gt.edu,Windows
505,usr068@gt.edu,macOS
506,usr068@gt.edu,Windows
509,usr069@gt.edu,macOS
511,usr069@gt.edu,Windows
515,usr069@gt.edu,Windows
517,usr070@gt.edu,Linux
519,usr071@gt.edu,Windows
521,usr071@gt.edu,Windows
525,usr072@gt.edu,Windows
526,usr072@gt.edu,Windows
527,usr072@gt.edu,Windows
529,usr073@gt.edu,Linux
533,usr074@gt.edu,macOS
537,usr075@gt.edu,Windows
539,usr075@gt.edu,macOS
547,usr076@gt.edu,Windows
553,usr077@gt.edu,Windows
554,usr078@gt.edu,Windows
556,usr078@gt.edu,Linux
557,usr078@gt.edu,Windows
559,usr078@gt.edu,Windows
561,usr078@gt.edu,Windows
567,usr079@gt.edu,macOS
569,usr079@gt.edu,Windows
573,usr079@gt.edu,Windows
575,usr080@gt.edu,Windows
576,usr080@gt.edu,Windows
578,usr080@gt.edu,Windows
580,usr080@gt.edu,macOS
581,usr080@gt.edu,Windows
587,usr081@gt.edu,Windows
590,usr081@gt.edu,Windows
591,usr081@gt.edu,Windows
599,usr082@gt.edu,Windows
600,usr082@gt.edu,Windows
601,usr082@gt.edu,Windows
609,usr083@gt.edu,macOS
612,usr084@gt.edu,Windows
613,usr084@gt.edu,macOS
619,usr084@gt.edu,Linux
621,usr084@gt.edu,Windows
623,usr085@gt.edu,macOS
627,usr085@gt.edu,macOS
629,usr085@gt.edu,Windows
633,usr086@gt.edu,Windows
636,usr086@gt.edu,Windows
637,usr086@gt.edu,macOS
645,usr087@gt.edu,Windows
653,usr088@gt.edu,Windows
655,usr088@gt.edu,Windows
657,usr088@gt.edu,Windows
662,usr089@gt.edu,Windows
664,usr089@gt.edu,Windows
665,usr089@gt.edu,Windows
669,usr089@gt.edu,Windows
670,usr090@gt.edu,macOS
671,usr090@gt.edu,Windows
674,usr090@gt.edu,Windows
677,usr090@gt.edu,Linux
681,usr091@gt.edu,macOS
684,usr091@gt.edu,macOS
686,usr092@gt.edu,Windows
687,usr092@gt.edu,macOS
688,usr092@gt.edu,Windows
693,usr092@gt.edu,macOS
694,usr092@gt.edu,Windows
695,usr092@gt.edu,Linux
698,usr093@gt.edu,Windows
699,usr093@gt.edu,Windows
701,usr093@gt.edu,Windows
703,usr093@gt.edu,macOS
713,usr094@gt.edu,macOS
715,usr094@gt.edu,Windows
719,usr094@gt.edu,Windows
720,usr095@gt.edu,Windows
721,usr095@gt.edu,Linux
724,usr095@gt.edu,Windows
727,usr096@gt.edu,Windows
728,usr096@gt.edu,Windows
735,usr096@gt.edu,Windows
741,usr097@gt.edu,Windows
743,usr097@gt.edu,Windows
744,usr097@gt.edu,Windows
747,usr097@gt.edu,Windows
749,usr098@gt.edu,macOS
755,usr098@gt.edu,Windows
756,usr098@gt.edu,Linux
758,usr099@gt.edu,macOS
761,usr100@gt.edu,Windows
764,usr100@gt.edu,Windows
766,usr101@gt.edu,Windows
767,usr101@gt.edu,macOS
768,usr101@gt.edu,Windows
770,usr101@gt.edu,macOS
772,usr101@gt.edu,macOS
773,usr102@gt.edu,macOS
775,usr102@gt.edu,macOS
776,usr102@gt.edu,Windows
778,usr102@gt.edu,Windows
781,usr103@gt.edu,macOS
783,usr103@gt.edu,macOS
786,usr104@gt.edu,macOS
790,usr104@gt.edu,Windows
792,usr104@gt.edu,Windows
799,usr105@gt.edu,Windows
800,usr105@gt.edu,Windows
802,usr106@gt.edu,Windows
805,usr107@gt.edu,macOS
807,usr107@gt.edu,Windows
808,usr107@gt.edu,macOS
809,usr107@gt.edu,macOS
812,usr108@gt.edu,Windows
814,usr108@gt.edu,Linux
816,usr108@gt.edu,Linux
817,usr108@gt.edu,Windows
820,usr108@gt.edu,macOS
822,usr109@gt.edu,Windows
824,usr109@gt.edu,macOS
825,usr109@gt.edu,macOS
827,usr109@gt.edu,Windows
828,usr109@gt.edu,macOS
829,usr109@gt.edu,Windows
830,usr109@gt.edu,Windows
833,usr110@gt.edu,Linux
835,usr110@gt.edu,macOS
842,usr111@gt.edu,Windows
843,usr111@gt.edu,Linux
846,usr112@gt.edu,Windows
848,usr112@gt.edu,Windows
851,usr113@gt.edu,Windows
852,usr113@gt.edu,Windows
854,usr113@gt.edu,macOS
863,usr114@gt.edu,Windows
867,usr115@gt.edu,Windows
869,usr115@gt.edu,macOS
870,usr115@gt.edu,macOS
872,usr115@gt.edu,Windows
877,usr117@gt.edu,Linux
878,usr117@gt.edu,Windows
879,usr117@gt.edu,Linux
880,usr117@gt.edu,macOS
882,usr117@gt.edu,Windows
883,usr117@gt.edu,Windows
884,usr117@gt.edu,macOS
886,usr117@gt.edu,macOS
893,usr118@gt.edu,Windows
894,usr118@gt.edu,Windows
900,usr119@gt.edu,macOS
903,usr120@gt.edu,macOS
904,usr120@gt.edu,Windows
905,usr120@gt.edu,macOS
907,usr120@gt.edu,Linux
913,usr121@gt.edu,macOS
915,usr122@gt.edu,Windows
920,usr123@gt.edu,Windows
921,usr123@gt.edu,Windows
922,usr123@gt.edu,Windows
923,usr123@gt.edu,Windows
924,usr123@gt.edu,Windows
925,usr124@gt.edu,Windows
927,usr124@gt.edu,macOS
929,usr124@gt.edu,Linux
930,usr124@gt.edu,Windows
932,usr125@gt.edu,Windows
934,usr125@gt.edu,Windows
942,usr126@gt.edu,macOS
945,usr127@gt.edu,macOS
949,usr128@gt.edu,Windows
950,usr128@gt.edu,Windows
955,usr128@gt.edu,Windows
958,usr129@gt.edu,Linux
959,usr129@gt.edu,Linux
960,usr129@gt.edu,macOS
963,usr129@gt.edu,Windows
967,usr129@gt.edu,Windows
968,usr130@gt.edu,macOS
971,usr131@gt.edu,Linux
972,usr131@gt.edu,macOS
973,usr131@gt.edu,Windows
974,usr131@gt.edu,Windows
977,usr132@gt.edu,macOS
979,usr132@gt.edu,Windows
980,usr132@gt.edu,Windows
988,usr133@gt.edu,Windows
990,usr133@gt.edu,macOS
991,usr134@gt.edu,macOS
992,usr134@gt.edu,Windows
994,usr134@gt.edu,Linux
995,usr134@gt.edu,Windows
997,usr134@gt.edu,macOS
1000,usr135@gt.edu,Windows
1001,usr135@gt.edu,Windows
1002,usr135@gt.edu,Windows
1003,usr135@gt.edu,Windows
1007,usr136@gt.edu,Windows
1009,usr136@gt.edu,Windows
1013,usr137@gt.edu,Linux
1017,usr138@gt.edu,Windows
1027,usr139@gt.edu,macOS
1035,usr140@gt.edu,Windows
1036,usr140@gt.edu,macOS
1038,usr140@gt.edu,Windows
1039,usr141@gt.edu,macOS
1041,usr141@gt.edu,Windows
1042,usr141@gt.edu,Linux
1043,usr141@gt.edu,macOS
1044,usr142@gt.edu,macOS
1046,usr142@gt.edu,Windows
1048,usr142@gt.edu,macOS
1050,usr142@gt.edu,macOS
1052,usr142@gt.edu,Windows
1054,usr142@gt.edu,macOS
1055,usr143@gt.edu,macOS
1056,usr143@gt.edu,macOS
1058,usr143@gt.edu,macOS
1062,usr144@gt.edu,Windows
1063,usr144@gt.edu,Windows
1066,usr145@gt.edu,Windows
1069,usr145@gt.edu,Windows
1071,usr145@gt.edu,macOS
1073,usr145@gt.edu,Windows
1074,usr145@gt.edu,macOS
1075,usr145@gt.edu,Windows
1076,usr146@gt.edu,Windows
1079,usr146@gt.edu,macOS
1085,usr146@gt.edu,Windows
1088,usr147@gt.edu,macOS
1089,usr147@gt.edu,Windows
1091,usr147@gt.edu,Windows
1093,usr147@gt.edu,macOS
1096,usr147@gt.edu,Windows
1101,usr148@gt.edu,Windows
1107,usr148@gt.edu,macOS
1108,usr148@gt.edu,Windows
1110,usr149@gt.edu,Windows
1111,usr149@gt.edu,Windows
1112,usr149@gt.edu,Windows
1114,usr150@gt.edu,macOS
1118,usr151@gt.edu,macOS
1120,usr151@gt.edu,macOS
1121,usr151@gt.edu,Windows
1122,usr151@gt.edu,macOS
1123,usr151@gt.edu,Windows
1126,usr152@gt.edu,Windows
1131,usr152@gt.edu,Windows
1136,usr153@gt.edu,macOS
1138,usr153@gt.edu,Windows
1139,usr153@gt.edu,macOS
1140,usr154@gt.edu,Windows
1142,usr154@gt.edu,Windows
1143,usr154@gt.edu,macOS
1144,usr155@gt.edu,Linux
1145,usr155@gt.edu,Windows
1150,usr156@gt.edu,macOS
1154,usr157@gt.edu,Linux
1155,usr157@gt.edu,Windows
1157,usr157@gt.edu,Linux
1159,usr157@gt.edu,Windows
1168,usr158@gt.edu,Windows
1172,usr158@gt.edu,Windows
1174,usr158@gt.edu,macOS
1175,usr158@gt.edu,macOS
1177,usr159@gt.edu,Windows
1178,usr159@gt.edu,Windows
1181,usr159@gt.edu,Windows
1183,usr159@gt.edu,macOS
1186,usr160@gt.edu,macOS
1187,usr160@gt.edu,macOS
1188,usr160@gt.edu,Windows
1192,usr160@gt.edu,Windows
1193,usr161@gt.edu,Windows
1197,usr161@gt.edu,Windows
1201,usr161@gt.edu,Linux
1208,usr163@gt.edu,macOS
1210,usr163@gt.edu,Windows
1211,usr163@gt.edu,Windows
1212,usr164@gt.edu,macOS
1213,usr164@gt.edu,macOS
1215,usr164@gt.edu,Windows
1218,usr164@gt.edu,macOS
1219,usr164@gt.edu,Windows
1220,usr164@gt.edu,Windows
1222,usr164@gt.edu,Windows
1223,usr165@gt.edu,Windows
1224,usr165@gt.edu,Windows
1228,usr165@gt.edu,Windows
1229,usr165@gt.edu,Windows
1231,usr165@gt.edu,Windows
1232,usr165@gt.edu,macOS
1233,usr165@gt.edu,Windows
1234,usr165@gt.edu,Windows
1235,usr166@gt.edu,macOS
1237,usr166@gt.edu,Windows
1242,usr167@gt.edu,macOS
1243,usr167@gt.edu,Windows
1245,usr168@gt.edu,Windows
1248,usr168@gt.edu,macOS
1249,usr169@gt.edu,macOS
1251,usr169@gt.edu,Windows
1254,usr169@gt.edu,Windows
1256,usr169@gt.edu,macOS
1257,usr170@gt.edu,Windows
1258,usr170@gt.edu,Windows
1263,usr171@gt.edu,Windows
1265,usr171@gt.edu,macOS
1272,usr172@gt.edu,Windows
1277,usr173@gt.edu,Windows
1284,usr174@gt.edu,macOS
1285,usr174@gt.edu,Linux
1288,usr175@gt.edu,Windows
1292,usr175@gt.edu,Windows
1293,usr175@gt.edu,macOS
1295,usr175@gt.edu,macOS
1299,usr177@gt.edu,Linux
1300,usr177@gt.edu,macOS
1304,usr177@gt.edu,Windows
1306,usr178@gt.edu,Windows
1307,usr178@gt.edu,macOS
1316,usr178@gt.edu,Linux
1317,usr179@gt.edu,macOS
1320,usr179@gt.edu,Windows
1323,usr179@gt.edu,Windows
1334,usr181@gt.edu,Windows
1337,usr181@gt.edu,Windows
1338,usr181@gt.edu,Windows
1350,usr182@gt.edu,Windows
1351,usr183@gt.edu,Linux
1352,usr183@gt.edu,Windows
1354,usr184@gt.edu,Windows
1363,usr184@gt.edu,Windows
1370,usr185@gt.edu,macOS
1371,usr185@gt.edu,macOS
1373,usr185@gt.edu,macOS
1374,usr185@gt.edu,Windows
1378,usr186@gt.edu,Windows
1379,usr186@gt.edu,macOS
1384,usr187@gt.edu,Windows
1386,usr187@gt.edu,Linux
1390,usr187@gt.edu,Windows
1392,usr188@gt.edu,macOS
1394,usr188@gt.edu,macOS
1400,usr188@gt.edu,macOS
1401,usr189@gt.edu,Windows
1402,usr189@gt.edu,Windows
1403,usr189@gt.edu,Windows
1408,usr190@gt.edu,macOS
1409,usr190@gt.edu,Windows
1410,usr190@gt.edu,Windows
1412,usr190@gt.edu,Windows
1414,usr191@gt.edu,Windows
1418,usr191@gt.edu,Windows
1420,usr191@gt.edu,macOS
1422,usr191@gt.edu,Windows
1423,usr191@gt.edu,macOS
1425,usr192@gt.edu,macOS
1428,usr193@gt.edu,Windows
1430,usr193@gt.edu,Windows
1433,usr193@gt.edu,Windows
1434,usr193@gt.edu,Windows
1436,usr193@gt.edu,macOS
1437,usr193@gt.edu,Windows
1438,usr193@gt.edu,Windows
1439,usr194@gt.edu,Windows
1440,usr194@gt.edu,Linux
1442,usr194@gt.edu,Windows
1446,usr194@gt.edu,Linux
1449,usr195@gt.edu,Windows
1451,usr195@gt.edu,macOS
1452,usr195@gt.edu,Windows
1453,usr195@gt.edu,Windows
1455,usr196@gt.edu,Windows
1456,usr196@gt.edu,Windows
1464,usr196@gt.edu,macOS
1465,usr196@gt.edu,Linux
1466,usr197@gt.edu,Linux
1469,usr197@gt.edu,Windows
1471,usr197@gt.edu,Windows
1478,usr198@gt.edu,Windows
1479,usr198@gt.edu,macOS
1483,usr199@gt.edu,Windows
1486,usr199@gt.edu,macOS
1488,usr200@gt.edu,Windows
1491,usr200@gt.edu,macOS
1494,usr200@gt.edu,Windows
1495,usr200@gt.edu,macOS
1496,usr201@gt.edu,macOS
1500,usr201@gt.edu,Windows
1504,usr202@gt.edu,Windows
1507,usr202@gt.edu,macOS
1510,usr203@gt.edu,macOS
1513,usr203@gt.edu,Linux
1515,usr203@gt.edu,Windows
1517,usr203@gt.edu,Windows
1519,usr203@gt.edu,Windows
1520,usr204@gt.edu,Windows
1524,usr204@gt.edu,macOS
1527,usr204@gt.edu,Windows
1530,usr205@gt.edu,macOS
1534,usr205@gt.edu,Windows
1541,usr205@gt.edu,Linux
1542,usr206@gt.edu,Windows
1543,usr206@gt.edu,macOS
1546,usr206@gt.edu,Windows
1547,usr206@gt.edu,Windows
1555,usr207@gt.edu,Windows
1556,usr207@gt.edu,Windows
1563,usr208@gt.edu,Windows
1564,usr208@gt.edu,Linux
1567,usr209@gt.edu,Windows
1569,usr209@gt.edu,macOS
1571,usr209@gt.edu,macOS
1575,usr210@gt.edu,Windows
1577,usr210@gt.edu,macOS
1579,usr210@gt.edu,Windows
1580,usr211@gt.edu,Windows
1583,usr211@gt.edu,macOS
1584,usr211@gt.edu,macOS
1587,usr212@gt.edu,Windows
1592,usr212@gt.edu,macOS
1594,usr213@gt.edu,Linux
1595,usr213@gt.edu,Windows
1596,usr213@gt.edu,Windows
1599,usr213@gt.edu,Windows
1605,usr213@gt.edu,Windows
1607,usr214@gt.edu,Windows
1609,usr214@gt.edu,Windows
1613,usr214@gt.edu,Windows
1615,usr214@gt.edu,Windows
1618,usr215@gt.edu,Windows
1620,usr215@gt.edu,macOS
1625,usr216@gt.edu,Windows
1626,usr216@gt.edu,macOS
1629,usr216@gt.edu,macOS
1631,usr216@gt.edu,macOS
1632,usr216@gt.edu,Windows
1635,usr217@gt.edu,Windows
1638,usr217@gt.edu,macOS
1639,usr217@gt.edu,Linux
1648,usr218@gt.edu,Windows
1649,usr218@gt.edu,Windows
1653,usr219@gt.edu,macOS
1655,usr219@gt.edu,Windows
1658,usr219@gt.edu,Linux
1659,usr219@gt.edu,macOS
1660,usr220@gt.edu,Windows
1661,usr220@gt.edu,macOS
1662,usr220@gt.edu,Linux
1664,usr220@gt.edu,Windows
1665,usr220@gt.edu,Windows
1666,usr220@gt.edu,Windows
1667,usr220@gt.edu,Windows
1671,usr221@gt.edu,Windows
1673,usr221@gt.edu,Linux
1674,usr221@gt.edu,macOS
1676,usr222@gt.edu,Windows
1680,usr222@gt.edu,Windows
1686,usr223@gt.edu,macOS
1693,usr224@gt.edu,Windows
1694,usr224@gt.edu,Windows
1695,usr224@gt.edu,macOS
1696,usr224@gt.edu,Windows
1697,usr225@gt.edu,Linux
1702,usr226@gt.edu,Windows
1707,usr227@gt.edu,Windows
1709,usr227@gt.edu,macOS
1711,usr228@gt.edu,Windows
1712,usr228@gt.edu,Windows
1723,usr229@gt.edu,macOS
1726,usr229@gt.edu,Windows
1735,usr231@gt.edu,Windows
1736,usr231@gt.edu,macOS
1739,usr231@gt.edu,Windows
1740,usr231@gt.edu,Linux
1741,usr232@gt.edu,macOS
1747,usr232@gt.edu,macOS
1748,usr233@gt.edu,macOS
1752,usr234@gt.edu,Windows
1755,usr235@gt.edu,Linux
1760,usr236@gt.edu,Windows
1768,usr236@gt.edu,Windows
1771,usr237@gt.edu,Windows
1773,usr237@gt.edu,Windows
1775,usr237@gt.edu,Windows
1776,usr237@gt.edu,Windows
1778,usr238@gt.edu,Windows
1780,usr238@gt.edu,Windows
1783,usr239@gt.edu,Linux
1784,usr239@gt.edu,Windows
1789,usr239@gt.edu,macOS
1790,usr239@gt.edu,Windows
1791,usr239@gt.edu,macOS
1793,usr239@gt.edu,Windows
1794,usr239@gt.edu,macOS
1796,usr240@gt.edu,Windows
1797,usr240@gt.edu,Windows
1802,usr240@gt.edu,Linux
1808,usr241@gt.edu,Windows
1811,usr241@gt.edu,macOS
1814,usr242@gt.edu,Windows
1816,usr242@gt.edu,Windows
1821,usr242@gt.edu,Windows
1822,usr242@gt.edu,Windows
1824,usr243@gt.edu,Linux
1827,usr244@gt.edu,macOS
1828,usr244@gt.edu,macOS
1829,usr244@gt.edu,macOS
1832,usr245@gt.edu,macOS
1833,usr245@gt.edu,Windows
1834,usr245@gt.edu,Windows
1842,usr246@gt.edu,macOS
1843,usr246@gt.edu,macOS
1847,usr246@gt.edu,macOS
1850,usr247@gt.edu,Windows
1853,usr247@gt.edu,Windows
1855,usr247@gt.edu,macOS
1859,usr248@gt.edu,Windows
1860,usr248@gt.edu,Windows
1863,usr248@gt.edu,macOS
1865,usr249@gt.edu,Windows
1866,usr249@gt.edu,Windows
1870,usr249@gt.edu,Windows
1871,usr249@gt.edu,Windows
1872,usr249@gt.edu,Windows
1873,usr249@gt.edu,Windows
1874,usr249@gt.edu,Windows
1879,usr251@gt.edu,Linux
1883,usr252@gt.edu,Linux
1885,usr253@gt.edu,Windows
1887,usr253@gt.edu,macOS
1891,usr253@gt.edu,Windows
1897,usr254@gt.edu,macOS
1905,usr255@gt.edu,Windows
1912,usr256@gt.edu,Linux
1914,usr256@gt.edu,macOS
1915,usr256@gt.edu,macOS
1916,usr256@gt.edu,Windows
1922,usr257@gt.edu,macOS
1926,usr257@gt.edu,macOS
1931,usr258@gt.edu,macOS
1932,usr258@gt.edu,Windows
1933,usr258@gt.edu,Windows
1934,usr259@gt.edu,macOS
1935,usr259@gt.edu,macOS
1937,usr260@gt.edu,Windows
1943,usr261@gt.edu,Windows
1945,usr261@gt.edu,Windows
1946,usr261@gt.edu,macOS
1949,usr261@gt.edu,macOS
1952,usr261@gt.edu,Windows
1953,usr262@gt.edu,macOS
1954,usr262@gt.edu,Windows
1955,usr262@gt.edu,macOS
1956,usr262@gt.edu,Windows
1960,usr263@gt.edu,macOS
1963,usr263@gt.edu,Linux
1964,usr263@gt.edu,Windows
1966,usr264@gt.edu,macOS
1968,usr264@gt.edu,Windows
1970,usr264@gt.edu,Windows
1973,usr264@gt.edu,Windows
1975,usr265@gt.edu,Windows
1978,usr265@gt.edu,Windows
1979,usr265@gt.edu,Windows
1980,usr265@gt.edu,Windows
1982,usr265@gt.edu,macOS
1983,usr265@gt.edu,macOS
1986,usr266@gt.edu,Windows
1988,usr266@gt.edu,macOS
1992,usr267@gt.edu,Windows
1993,usr267@gt.edu,Windows
1996,usr267@gt.edu,macOS
1998,usr268@gt.edu,Windows
2001,usr269@gt.edu,Linux
2002,usr269@gt.edu,macOS
2012,usr270@gt.edu,Linux
2015,usr270@gt.edu,Linux
2016,usr271@gt.edu,Windows
2019,usr271@gt.edu,Windows
2020,usr271@gt.edu,macOS
2021,usr271@gt.edu,Linux
2024,usr271@gt.edu,Windows
2025,usr272@gt.edu,macOS
2028,usr272@gt.edu,Linux
2031,usr272@gt.edu,macOS
2033,usr272@gt.edu,Linux
2037,usr273@gt.edu,Windows
2039,usr273@gt.edu,macOS
2041,usr273@gt.edu,Windows
2042,usr273@gt.edu,macOS
2044,usr273@gt.edu,Windows
2046,usr274@gt.edu,macOS
2047,usr274@gt.edu,Windows
2052,usr274@gt.edu,macOS
2054,usr274@gt.edu,Windows
2055,usr275@gt.edu,Windows
2058,usr275@gt.edu,macOS
2066,usr276@gt.edu,Windows
2069,usr277@gt.edu,Windows
2074,usr278@gt.edu,Windows
2076,usr278@gt.edu,Windows
2077,usr278@gt.edu,macOS
2080,usr278@gt.edu,macOS
2085,usr279@gt.edu,Windows
2087,usr279@gt.edu,Windows
2098,usr281@gt.edu,Windows
2099,usr281@gt.edu,macOS
2102,usr281@gt.edu,Windows
2103,usr281@gt.edu,macOS
2106,usr282@gt.edu,Windows
2111,usr283@gt.edu,Windows
2112,usr283@gt.edu,macOS
2113,usr283@gt.edu,Windows
2116,usr284@gt.edu,Windows
2118,usr284@gt.edu,Windows
2122,usr284@gt.edu,Windows
2126,usr284@gt.edu,Windows
2127,usr285@gt.edu,Windows
2130,usr285@gt.edu,macOS
2132,usr285@gt.edu,macOS
2140,usr286@gt.edu,Windows
2142,usr286@gt.edu,macOS
2146,usr287@gt.edu,Windows
2147,usr287@gt.edu,Linux
2153,usr289@gt.edu,macOS
2157,usr289@gt.edu,Windows
2159,usr289@gt.edu,Windows
2163,usr290@gt.edu,Linux
2165,usr290@gt.edu,Windows
2166,usr290@gt.edu,Windows
2180,usr293@gt.edu,Windows
2182,usr294@gt.edu,macOS
2185,usr294@gt.edu,Windows
2192,usr295@gt.edu,macOS
2194,usr295@gt.edu,macOS
2195,usr295@gt.edu,macOS
2197,usr296@gt.edu,macOS
2199,usr296@gt.edu,Windows
2201,usr296@gt.edu,macOS
2202,usr297@gt.edu,Windows
2205,usr297@gt.edu,Windows
2206,usr297@gt.edu,macOS
2207,usr297@gt.edu,Windows
2209,usr297@gt.edu,Windows
2210,usr297@gt.edu,macOS
2212,usr297@gt.edu,Windows
2217,usr298@gt.edu,Windows
2227,usr299@gt.edu,Windows
2228,usr299@gt.edu,Windows
2232,usr300@gt.edu,macOS
2233,usr301@gt.edu,Windows
2239,usr301@gt.edu,macOS
2240,usr301@gt.edu,Windows
2243,usr302@gt.edu,macOS
2244,usr302@gt.edu,macOS
2245,usr302@gt.edu,Linux
2248,usr302@gt.edu,Windows
2249,usr302@gt.edu,Windows
2252,usr303@gt.edu,Linux
2255,usr304@gt.edu,Windows
2257,usr304@gt.edu,macOS
2262,usr305@gt.edu,Windows
2264,usr306@gt.edu,Windows
