item_number	title	condition	description	email	type	card_count	platform	media
27	Silent Hunter 4: Wolves of the Pacific	Heavily Used		usr006@gt.edu	Computer Game		Windows	
28	John Carpenter's Psychopath	Moderately Used		usr006@gt.edu	Video Game		PlayStation	Cartridge
29	Illuminati: New World Order	Moderately Used	Steve Jackson Games   	usr006@gt.edu	Collectible Card Game	408		
30	Assetto Corsa	Lightly Used	Kunos Simulazioni	usr006@gt.edu	Computer Game		Windows	
31	Cranium	Lightly Used	United States  Single six-sided die rolled after completion of an activity	usr006@gt.edu	Board Game			
32	Madagascar Kartz	Lightly Used	Racing   Sidhe Interactive	usr006@gt.edu	Video Game		Xbox	Optical disc
33	Madden NFL 25	Lightly Used	Sports   EA Tiburon	usr006@gt.edu	Video Game		Xbox	Optical disc
34	John Woo Presents: Stranglehold	Lightly Used		usr006@gt.edu	Video Game		PlayStation	Game card
35	Event 0	Moderately Used	Ocelot Society	usr006@gt.edu	Computer Game		Windows	
36	JoJo's Bizarre Adventure HD Ver.	Like New	Capcom   August 21, 2012	usr006@gt.edu	Video Game		PlayStation	Optical disc
37	Warhammer 40,000: Dawn of War II	Like New	Relic Entertainment   THQ	usr007@gt.edu	Computer Game		macOS	
38	Monopoly Deal	Lightly Used	Card & Board   Asobo Studio	usr007@gt.edu	Video Game		Xbox	Game card
39	The Elder Scrolls II: Daggerfall	Damaged/Missing parts	Bethesda Softworks	usr007@gt.edu	Computer Game		macOS	
40	Street Racing Syndicate'	Heavily Used	Eutechnyx   Namco	usr007@gt.edu	Computer Game		macOS	
41	"Warhammer Age of Sigmar: Champions	"	Lightly Used	PlayFusion Limited/Games Workshop   	usr007@gt.edu	Collectible Card Game	423		
42	Medal of Honor	Damaged/Missing parts		usr007@gt.edu	Video Game		Xbox	Optical disc
43	Afterlife	Damaged/Missing parts	LucasArts	usr007@gt.edu	Computer Game		Windows	
44	StarCraft II: Heart of the Swarm	Like New		usr007@gt.edu	Computer Game		Windows	
45	Kane & Lynch 2: Dog Days	Heavily Used	IO Interactive   	usr007@gt.edu	Video Game		PlayStation	Game card
46	G.I. Joe Trading Card Game 	Moderately Used	Wizards of the Coast   	usr008@gt.edu	Collectible Card Game	131		
47	Palace (2-6 players)	Like New	"Also called  ""Karma"" or ""Idiot"". A very light casual game, where the aim is to avoid being last to get rid of your cards"	usr008@gt.edu	Playing Card Game			
48	Alpha Prime	Heavily Used	Black Element Software   IDEA Games, Meridian4, Bohemia Interactive	usr008@gt.edu	Computer Game		Windows	
49	Monster Hunter Frontier G10	Lightly Used		usr008@gt.edu	Video Game		Xbox	Cartridge
50	Missile Command	Unopened	Classics   Stainless Games/Atari	usr008@gt.edu	Video Game		Xbox	Optical disc
51	Polaris SnoCross	Moderately Used	Vicarious Visions   Vatical Entertainment	usr008@gt.edu	Video Game		Nintendo	Game card
52	Journey Collector's Edition	Damaged/Missing parts	ThatGameCompany   October 28, 2012	usr008@gt.edu	Video Game		PlayStation	Optical disc
53	Hearts (3-7 players)	Unopened	One of the all time classic trick-taking games, where the aim is to avoid taking tricks with Hearts, since these are minus points, while the Queen of Spades is a whopping 13 minus points	usr008@gt.edu	Playing Card Game			
54	Brawlhalla	Like New	Blue Mammoth Games   Ubisoft	usr008@gt.edu	Computer Game		macOS	
55	Kane & Lynch: Dead Men	Like New	IO Interactive   July 10, 2008	usr008@gt.edu	Video Game		PlayStation	Optical disc
56	Oh My Goddess!	Like New	based on the Japanese manga series written and illustrated by Kosuke Fujishima   	usr008@gt.edu	Collectible Card Game	578		
57	Minecraft: Xbox 360 Edition	Heavily Used	Sandbox   4J Studios	usr008@gt.edu	Video Game		Xbox	Optical disc
58	Batman: Arkham Knight	Unopened	Rocksteady Studios   Warner Bros. Interactive Entertainment	usr009@gt.edu	Computer Game		Windows	
59	Inuyasha Trading Card Game 	Heavily Used		usr009@gt.edu	Collectible Card Game	246		
60	Beam Breakers	Heavily Used	Similis Software GmbH   JoWooD Productions Software	usr009@gt.edu	Computer Game		macOS	
61	Nushi Tsuri 64: Shiokaze Ni Notte	Heavily Used	Victor Interactive Software   Victor Interactive Software	usr009@gt.edu	Video Game		Nintendo	Game card
62	Brawlhalla	Heavily Used	Blue Mammoth Games   Ubisoft	usr009@gt.edu	Computer Game		macOS	
63	Might & Magic: Clash of Heroes HD	Lightly Used	Role Playing   Capybara Games	usr009@gt.edu	Video Game		Xbox	Optical disc
64	Enclave	Heavily Used	Starbreeze Studios   Vivendi Universal, TopWare Interactive	usr009@gt.edu	Computer Game		macOS	
65	Metal Gear Solid: Peace Walker HD Edition	Lightly Used		usr009@gt.edu	Video Game		Xbox	Cartridge
66	Monopoly Deal	Heavily Used	Card & Board   Asobo Studio	usr009@gt.edu	Video Game		Xbox	Game card
67	Just Dance 2015	Like New		usr009@gt.edu	Video Game		PlayStation	Game card
68	The Misadventures of P.B. Winterbottom	Damaged/Missing parts	Puzzle & Trivia   The Odd Gentlemen	usr009@gt.edu	Video Game		Xbox	Cartridge
69	Pok�mon Snap	Like New		usr010@gt.edu	Video Game		Nintendo	Cartridge
70	Pool of Radiance	Heavily Used	Strategic Simulations, Inc.   Strategic Simulations, Inc., Pony Canyon (PC9800, X1)	usr010@gt.edu	Computer Game		Linux	
71	Age of Pirates: Captain Blood	Moderately Used		usr010@gt.edu	Computer Game		Windows	
72	Astebreed	Moderately Used	Edelweiss   Playism	usr010@gt.edu	Computer Game		Windows	
73	Blitzkrieg	Moderately Used	Nival Interactive   CDV, 1C Company, Virtual Programming	usr010@gt.edu	Computer Game		macOS	
74	Juiced 2: Hot Import Nights	Unopened	Juice Games / Paradigm Entertainment   January 24, 2008	usr010@gt.edu	Video Game		PlayStation	Game card
75	Kamen Rider Battride War	Damaged/Missing parts	Bandai Namco Games   March 23, 2013	usr010@gt.edu	Video Game		PlayStation	Optical disc
76	Fading Legions	Like New	Avalanche Press  2002	usr010@gt.edu	Board Game			
77	Madden NFL 12	Like New	Sports   EA Tiburon	usr011@gt.edu	Video Game		Xbox	Game card
78	The Dozens 	Heavily Used		usr011@gt.edu	Collectible Card Game	163		
79	Towers in Time 	Damaged/Missing parts	Thunder Castle Games   	usr011@gt.edu	Collectible Card Game	500		
80	Karaoke Revolution Presents: American Idol Encore	Heavily Used		usr011@gt.edu	Video Game		PlayStation	Cartridge
81	RockMan Dash: Hagane no BoukenshinJP	Lightly Used	Capcom Production Studio 2   Capcom	usr011@gt.edu	Video Game		Nintendo	Optical disc
82	Air Conflicts: Secret Wars	Lightly Used	Games Farm   bitComposer	usr011@gt.edu	Computer Game		macOS	
83	Dune	Damaged/Missing parts	Last Unicorn Games/Five Rings Publishing Group/Wizards of the Coast   	usr011@gt.edu	Collectible Card Game	144		
84	Battleship: Surface Thunder	Like New	Hasbro Interactive	usr011@gt.edu	Computer Game		Windows	
85	Baldur's Gate	Like New	BioWare   Black Isle Studios, Interplay Entertainment	usr011@gt.edu	Computer Game		macOS	
86	Eurocom	Lightly Used	Midway Home Entertainment   Sports/Basketball	usr011@gt.edu	Video Game		Nintendo	Optical disc
87	Supreme Commander	Moderately Used		usr012@gt.edu	Computer Game		Linux	
88	Just Cause 2	Like New	Avalanche Studios   	usr012@gt.edu	Video Game		PlayStation	Cartridge
89	Knights and Merchants: The Shattered Kingdom	Lightly Used	Joymania Entertainment   TopWare Interactive, Interactive Magic	usr012@gt.edu	Computer Game		macOS	
90	Monster Hunter Frontier	Moderately Used		usr013@gt.edu	Video Game		Xbox	Optical disc
91	Action Quake 2	Lightly Used		usr013@gt.edu	Computer Game		macOS	
92	Trivial Pursuit	Like New	Quebec, Canada  Single six-sided die	usr013@gt.edu	Board Game			
93	HAL Laboratory	Damaged/Missing parts	Nintendo   Action/Turn-Based Battle	usr013@gt.edu	Video Game		Nintendo	Game card
94	Starsector	Like New		usr014@gt.edu	Computer Game		Windows	
95	Star Wars: X-Wing	Unopened	Lucasarts	usr014@gt.edu	Computer Game		Linux	
96	Assassin's Creed Valhalla	Like New	Ubisoft Montreal   Ubisoft	usr014@gt.edu	Computer Game		Windows	
97	Silent Hunter II	Lightly Used		usr014@gt.edu	Computer Game		Windows	
98	Jikkyou Powerful Pro Yakyuu 2014	Heavily Used	Konami   October 23, 2014	usr014@gt.edu	Video Game		PlayStation	Cartridge
99	Age of Pirates: Caribbean Tales	Damaged/Missing parts	Akella   1C Company, Playlogic	usr014@gt.edu	Computer Game		macOS	
100	NBA Live 2000	Like New	EA Canada   	usr014@gt.edu	Video Game		Nintendo	Cartridge
101	ARMA 2	Heavily Used	Bohemia Interactive   505 Games	usr014@gt.edu	Computer Game		Windows	
102	Bible Battles Trading Card Game 	Heavily Used	Bible Battles Trading Card Game LLC   	usr014@gt.edu	Collectible Card Game	718		
103	Surf's Up	Unopened		usr014@gt.edu	Computer Game		Windows	
104	Aces High	Lightly Used		usr014@gt.edu	Computer Game		Windows	
105	Patolli	Lightly Used	Mesoamerica  Five or six thrown marked black beans	usr015@gt.edu	Board Game			
106	Madballs in Babo: Invasion	Like New	Shooter   Playbrains	usr015@gt.edu	Video Game		Xbox	Optical disc
107	Nertz (2-6 players)	Heavily Used	"Also known as ""Racing Demon"" or ""Pounce"", Nertz is a competitive multi-player solitaire that is played in real time"	usr015@gt.edu	Playing Card Game			
108	Madden NFL 12	Lightly Used	Sports   EA Tiburon	usr015@gt.edu	Video Game		Xbox	Game card
109	EA Canada	Like New		usr015@gt.edu	Video Game		Nintendo	Cartridge
110	Jewish War	Like New	Khyber Pass Games  2000	usr015@gt.edu	Board Game			
111	Killing Floor	Like New	Tripwire Interactive	usr015@gt.edu	Computer Game		macOS	
112	Cricket Attax	Like New	Topps   	usr015@gt.edu	Collectible Card Game	278		
113	Silent Hunter	Unopened	Aeon Electronic Entertainment   Strategic Simulations	usr015@gt.edu	Computer Game		Windows	
114	MLB Stickball	Like New	Sports & Recreation   Gaia Industries	usr016@gt.edu	Video Game		Xbox	Game card
115	Kevin Van Dam's Big Bass Challenge	Moderately Used	Zoo Games   Unreleased	usr016@gt.edu	Video Game		PlayStation	Cartridge
116	NBA In The Zone 2000	Damaged/Missing parts	KCEO   Konami	usr016@gt.edu	Video Game		Nintendo	Game card
117	Behind 	Damaged/Missing parts	Fishtank   	usr016@gt.edu	Collectible Card Game	699		
118	Meikyuu Cross Blood: Reloaded	Damaged/Missing parts	Action & Adventure   Kadokawa	usr016@gt.edu	Video Game		Xbox	Game card
119	The Crow 	Heavily Used	Target Games/Heartbreaker Hobbies   	usr016@gt.edu	Collectible Card Game	188		
120	Just Dance 2014	Unopened	Ubisoft Paris   	usr017@gt.edu	Video Game		PlayStation	Game card
121	Act of War: High Treason	Damaged/Missing parts	Eugen Systems   Atari, Inc.	usr017@gt.edu	Computer Game		Windows	
122	Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP	Heavily Used	KCEO   Konami	usr017@gt.edu	Video Game		Nintendo	Cartridge
123	Project I.G.I.	Heavily Used	Innerloop Studios   Eidos Interactive	usr017@gt.edu	Computer Game		Linux	
124	Marvel vs. Capcom 2: New Age of Heroes	Heavily Used		usr017@gt.edu	Video Game		Xbox	Optical disc
125	AGEOD's American Civil War	Unopened	AGEOD   Matrix Games	usr018@gt.edu	Computer Game		macOS	
126	Trivial Pursuit	Moderately Used	Quebec, Canada  Single six-sided die	usr018@gt.edu	Board Game			
127	NFL Quarterback Club 98	Damaged/Missing parts	Iguana Entertainment   Acclaim Sports	usr018@gt.edu	Video Game		Nintendo	Game card
128	Bible Battles Trading Card Game 	Unopened	Bible Battles Trading Card Game LLC   	usr018@gt.edu	Collectible Card Game	718		
129	Audiosurf 2	Unopened	Dylan Fitterer	usr018@gt.edu	Computer Game		macOS	
130	Air Conflicts: Vietnam	Heavily Used	Games Farm   bitComposer	usr018@gt.edu	Computer Game		Windows	
131	Joust	Moderately Used	Sony Online Entertainment   Unreleased	usr018@gt.edu	Video Game		PlayStation	Cartridge
132	Mass Effect	Like New	Action RPG   BioWare	usr018@gt.edu	Video Game		Xbox	Cartridge
133	Cribbage (2 players)	Unopened		usr018@gt.edu	Playing Card Game			
134	Mass Effect	Damaged/Missing parts	Action RPG   BioWare	usr018@gt.edu	Video Game		Xbox	Cartridge
135	Wargame: European Escalation	Lightly Used		usr018@gt.edu	Computer Game		Windows	
136	Dark Millennium	Heavily Used	Sabertooth Games   	usr019@gt.edu	Collectible Card Game	123		
137	"Yu-Gi-Oh! Trading Card Game	"	Damaged/Missing parts	Konami   	usr019@gt.edu	Collectible Card Game	468		
138	Centurion: Tactical Warfare, 100 BC-600 AD	Like New		usr019@gt.edu	Board Game			
139	The Elder Scrolls: Arena	Unopened	Bethesda Softworks	usr020@gt.edu	Computer Game		Windows	
140	"Takaharuga God TCG	"	Unopened	Media Works   	usr020@gt.edu	Collectible Card Game	646		
141	Moe Moe 2-Ji Daisenryaku Ultra Deluxe	Moderately Used	Shooter   SystemSoft	usr020@gt.edu	Video Game		Xbox	Cartridge
142	Mighty No. 9	Moderately Used	Action & Adventure   Comcept/Inti Creates	usr021@gt.edu	Video Game		Xbox	Game card
143	Behind 	Lightly Used	Fishtank   	usr021@gt.edu	Collectible Card Game	699		
144	Aliens Predator Collectible Card Game	Unopened	Alien vs. Predator science fiction horror franchises   	usr021@gt.edu	Collectible Card Game	36		
145	Eye of the Beholder	Like New		usr021@gt.edu	Computer Game		Windows	
146	Yuke-Yuke!! Trouble MakersJP	Moderately Used		usr021@gt.edu	Video Game		Nintendo	Game card
147	Accel World vs. Sword Art Online: Millennium Twilight	Damaged/Missing parts	Artdink   Bandai Namco Entertainment	usr021@gt.edu	Computer Game		macOS	
148	Jikkyou Powerful Pro Yakyuu 2013	Like New	Konami   October 24, 2013	usr021@gt.edu	Video Game		PlayStation	Cartridge
149	A Boy and His Blob	Unopened	Abstraction Games, WayForward   Midnight City, Majesco,	usr022@gt.edu	Computer Game		Windows	
150	Action Quake 2	Like New		usr022@gt.edu	Computer Game		macOS	
151	Eagles	Heavily Used	Columbia Games   	usr022@gt.edu	Collectible Card Game	231		
152	Jeremy McGrath's Offroad	Like New	2XL Games   Unreleased	usr022@gt.edu	Video Game		PlayStation	Optical disc
153	Euchre (4 players)	Heavily Used	Extremely popular as a social game in parts of Canada and the USA, Euchre can especially be fun when played in a casual tournament setting	usr023@gt.edu	Playing Card Game			
154	Euchre (4 players)	Damaged/Missing parts	Extremely popular as a social game in parts of Canada and the USA, Euchre can especially be fun when played in a casual tournament setting	usr023@gt.edu	Playing Card Game			
155	Captain Tsubasa Trading Card Game	Heavily Used	Konami   	usr023@gt.edu	Collectible Card Game	571		
156	ARIDA: Backland's Awakening	Moderately Used	Aoca Game Lab	usr023@gt.edu	Computer Game		Windows	
157	The Elder Scrolls V: Skyrim	Heavily Used		usr024@gt.edu	Computer Game		Windows	
158	Age of Empires II: The African Kingdoms	Like New		usr024@gt.edu	Computer Game		Windows	
159	Abz	Damaged/Missing parts	Giant Squid Studios   505 Games	usr024@gt.edu	Computer Game		macOS	
160	Kamen Rider: SummonRide	Damaged/Missing parts	Bandai Namco Games   December 4, 2014	usr024@gt.edu	Video Game		PlayStation	Game card
161	Megamind: Ultimate Showdown	Unopened	Action   THQ	usr024@gt.edu	Video Game		Xbox	Cartridge
162	Marble Blast Ultra	Heavily Used	Action & Adventure   GarageGames	usr024@gt.edu	Video Game		Xbox	Optical disc
163	Kingdoms of Amalur: Reckoning	Damaged/Missing parts	38 Studios, Big Huge Games   38 Studios, Electronic Arts	usr024@gt.edu	Computer Game		Windows	
164	Surf's Up	Unopened	Ubisoft Montreal, Ubisoft Quebec, Totally Games   Ubisoft, Sony Computer Entertainment America	usr024@gt.edu	Computer Game		Windows	
165	After...	Moderately Used	Ciel	usr024@gt.edu	Computer Game		Windows	
166	A Druid's Duel	Damaged/Missing parts	Thoughtshelter Games   Surprise Attack, note	usr024@gt.edu	Computer Game		Linux	
167	BattleBlock Theater	Heavily Used	The Behemoth	usr024@gt.edu	Computer Game		macOS	
168	MindJack	Like New		usr024@gt.edu	Video Game		Xbox	Optical disc
169	Mayhem 3D	Damaged/Missing parts	Racing   Left Field Productions	usr025@gt.edu	Video Game		Xbox	Cartridge
170	Kane & Lynch: Dead Men	Unopened	IO Interactive   July 10, 2008	usr025@gt.edu	Video Game		PlayStation	Optical disc
171	NHL Breakaway 99	Heavily Used	Iguana West   Acclaim Sports	usr025@gt.edu	Video Game		Nintendo	Cartridge
172	A Chair in a Room: Greenwater	Lightly Used	Wolf & Wood Interactive Ltd	usr025@gt.edu	Computer Game		macOS	
173	Scrapland	Like New	Mercury Steam Entertainment   Deep Silver, Enlight Software	usr026@gt.edu	Computer Game		Windows	
174	Spartan	Moderately Used	Simulations Publications, Inc.  1975	usr026@gt.edu	Board Game			
175	Spartan	Like New	Simulations Publications, Inc.  1975	usr026@gt.edu	Board Game			
176	Katamari Forever	Damaged/Missing parts	Namco Bandai   July 23, 2009	usr026@gt.edu	Video Game		PlayStation	Cartridge
177	"Imajica	"	Damaged/Missing parts	Harper Prism/Clive Barker   	usr026@gt.edu	Collectible Card Game	86		
178	Mortal Kombat 4	Lightly Used	Midway Games   	usr026@gt.edu	Video Game		Nintendo	Cartridge
179	Beyblade Collectible Card Game 	Moderately Used	Takara   	usr026@gt.edu	Collectible Card Game	341		
180	Europa Universalis III	Damaged/Missing parts	Paradox Development Studio   Paradox Interactive	usr027@gt.edu	Computer Game		Windows	
181	Winx Club Collectible Card Game 	Unopened	Rainbow Games/Upper Deck   	usr027@gt.edu	Collectible Card Game	387		
182	Power Rangers Lightspeed Rescue	Lightly Used	Mass Media Games   THQ	usr027@gt.edu	Video Game		Nintendo	Game card
183	Five-hundred (4 players)	Heavily Used	The national card game of Australia. A skilful trick-taking game where players bid for the number of tricks they think their partnership can win	usr027@gt.edu	Playing Card Game			
184	Joysound Dive (app)	Lightly Used	Xing Inc.   November 24, 2011	usr027@gt.edu	Video Game		PlayStation	Optical disc
185	BioShock	Like New		usr028@gt.edu	Computer Game		Windows	
186	Phantom Doctrine	Damaged/Missing parts	CreativeForge Games   Good Shepherd Entertainment	usr028@gt.edu	Computer Game		Windows	
187	Europa Universalis II	Heavily Used	Paradox Development Studio   Strategy First, MacPlay, Typhoon Games	usr028@gt.edu	Computer Game		Windows	
188	System Shock	Damaged/Missing parts	Looking Glass Studios   Origin Systems	usr028@gt.edu	Computer Game		Windows	
189	Age of Mythology	Damaged/Missing parts	Ensemble Studios   Microsoft Game Studios, MacSoft	usr028@gt.edu	Computer Game		Windows	
190	Rook (4 players)	Lightly Used	Rook is a terrific partnership trick taking game with bidding that was even published commercially under that name with a special deck	usr028@gt.edu	Playing Card Game			
191	After...	Like New	Ciel	usr028@gt.edu	Computer Game		Windows	
192	Burnout Paradise: The Ultimate Box	Heavily Used		usr029@gt.edu	Computer Game		Windows	
193	InfogramesPAL	Lightly Used	Action/Adventure   1998-07-18NA	usr029@gt.edu	Video Game		Nintendo	Optical disc
194	Dark Age	Heavily Used	FPG Inc.   	usr029@gt.edu	Collectible Card Game	110		
195	Final Twilight TCG 	Moderately Used	Neo Productions Unlimited   	usr029@gt.edu	Collectible Card Game	347		
196	Ganbare Goemon Derodero Dochu Obake Tenko MoriJP	Moderately Used	KCEO   Konami	usr029@gt.edu	Video Game		Nintendo	Optical disc
197	Nightmare Creatures	Unopened	Kalisto Entertainment   Activision	usr029@gt.edu	Video Game		Nintendo	Cartridge
198	Pinochle (4 players)	Like New	A popular and classic American trick-taking game for partnerships that uses an 80 card deck	usr030@gt.edu	Playing Card Game			
199	JOYSOUND.TV Plus (app)	Like New	XING   December 11, 2014	usr030@gt.edu	Video Game		PlayStation	Cartridge
200	Europa Universalis II	Damaged/Missing parts	Paradox Development Studio   Strategy First, MacPlay, Typhoon Games	usr030@gt.edu	Computer Game		Windows	
201	Ken il Guerriero: Gioco di Carte Collezionabili 	Damaged/Missing parts	Alchemia   	usr030@gt.edu	Collectible Card Game	629		
202	Echelons of Fire	Damaged/Missing parts	Medallion Simulations   	usr030@gt.edu	Collectible Card Game	542		
203	Star Wars Galaxies	Damaged/Missing parts	Sony Online Entertainment   Electronic Arts, LucasArts	usr030@gt.edu	Computer Game		Windows	
204	Metal Gear Rising: Revengeance	Moderately Used	Hack & Slash, Action   Kojima Productions	usr030@gt.edu	Video Game		Xbox	Cartridge
205	Gridiron Fantasy Football	Like New	Upper Deck   	usr030@gt.edu	Collectible Card Game	175		
206	Pool of Radiance	Damaged/Missing parts	Strategic Simulations, Inc.   Strategic Simulations, Inc., Pony Canyon (PC9800, X1)	usr030@gt.edu	Computer Game		Linux	
207	Metal Gear Rising: Revengeance	Moderately Used	Hack & Slash, Action   Kojima Productions	usr031@gt.edu	Video Game		Xbox	Cartridge
208	Karateka	Heavily Used	Liquid Entertainment   Unreleased	usr031@gt.edu	Video Game		PlayStation	Cartridge
209	Neon Genesis Evangelion	Unopened	BEC   Bandai Games	usr031@gt.edu	Video Game		Nintendo	Cartridge
210	Parcheesi	Like New	United States  Two six-sided dice	usr031@gt.edu	Board Game			
211	Telenet Japan	Moderately Used	Telenet Japan   Gambling/Pachinko	usr031@gt.edu	Video Game		Nintendo	Optical disc
212	Mission Impossible	Heavily Used	Ocean Software   	usr031@gt.edu	Video Game		Nintendo	Cartridge
213	Nushi Tsuri 64: Shiokaze Ni Notte	Heavily Used	Victor Interactive Software   Victor Interactive Software	usr031@gt.edu	Video Game		Nintendo	Game card
214	Katamari Forever	Like New	Namco Bandai   July 23, 2009	usr031@gt.edu	Video Game		PlayStation	Cartridge
215	Age of Conan	Heavily Used		usr031@gt.edu	Computer Game		macOS	
216	Xenophon: 10,000 Against Persia	Like New	Decision Games  2000	usr031@gt.edu	Board Game			
217	JoJo's Bizarre Adventure: Eyes of Heaven	Like New	CyberConnect2   December 17, 2015	usr031@gt.edu	Video Game		PlayStation	Optical disc
218	The Terminator 	Moderately Used	Precedence Entertainment/Tyranny Games/Zehrapushu/ZI Games   	usr031@gt.edu	Collectible Card Game	212		
219	Beyblade Collectible Card Game 	Heavily Used	Takara   	usr032@gt.edu	Collectible Card Game	341		
220	World in Conflict	Heavily Used	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr032@gt.edu	Computer Game		macOS	
221	Codename: Kids Next Door Trading Card Game 	Damaged/Missing parts	Wizards of the Coast   	usr032@gt.edu	Collectible Card Game	206		
222	ABC Sports Indy Racing	Damaged/Missing parts		usr033@gt.edu	Computer Game		Windows	
223	Medal of Honor: Warfighter	Damaged/Missing parts	First-person Shooter   Danger Close Games	usr033@gt.edu	Video Game		Xbox	Game card
224	Battleground 11: East Front	Damaged/Missing parts	TalonSoft	usr033@gt.edu	Computer Game		macOS	
225	Dark Millennium	Lightly Used		usr033@gt.edu	Collectible Card Game	123		
226	James Bond 007: Blood Stone	Unopened	Bizarre Creations   	usr034@gt.edu	Video Game		PlayStation	Cartridge
227	Jedi Knights Trading Card Game	Like New	"Decipher Inc.	No   "	usr034@gt.edu	Collectible Card Game	268		
228	Age of Empires II: The Conquerors	Moderately Used	Ensemble Studios   Microsoft Game Studios, Konami	usr034@gt.edu	Computer Game		Windows	
229	Digimon D-Tector 	Like New	Bandai   	usr034@gt.edu	Collectible Card Game	145		
230	Pokemon Planet	Heavily Used	Brody	usr034@gt.edu	Computer Game		Windows	
231	Battlestar Galactica Collectible Card Game	Unopened	WizKids   	usr035@gt.edu	Collectible Card Game	411		
232	The Great Battles of Alexander the Great	Damaged/Missing parts	GMT Games  1991	usr035@gt.edu	Board Game			
233	Coppit	Damaged/Missing parts	Germany  Single six-sided die	usr035@gt.edu	Board Game			
234	Fastbreak 	Unopened	WildStorm Productions   	usr035@gt.edu	Collectible Card Game	751		
235	Major League Baseball 2K8	Like New	Sports   Kush Games	usr035@gt.edu	Video Game		Xbox	Cartridge
236	Baldur's Gate II: Shadows of Amn	Moderately Used		usr035@gt.edu	Computer Game		Windows	
237	Avalanche Software	Lightly Used	Midway Home EntertainmentNA   	usr035@gt.edu	Video Game		Nintendo	Optical disc
238	Combat Cards 	Unopened	self-published   	usr035@gt.edu	Collectible Card Game	664		
239	Joysound Dive (app)	Like New	Xing Inc.   November 24, 2011	usr035@gt.edu	Video Game		PlayStation	Optical disc
240	The Dozens 	Unopened	Topps   	usr035@gt.edu	Collectible Card Game	163		
241	Borderlands	Damaged/Missing parts	Gearbox Software   2K Games	usr035@gt.edu	Computer Game		Windows	
242	Aliens Predator Collectible Card Game	Heavily Used	Alien vs. Predator science fiction horror franchises   	usr036@gt.edu	Collectible Card Game	36		
243	Actua Pool	Like New		usr036@gt.edu	Computer Game		macOS	
244	Age of Empires III: The Asian Dynasties	Lightly Used		usr036@gt.edu	Computer Game		Windows	
245	Baldur's Gate II: Shadows of Amn	Like New	BioWare   Black Isle Studios, Interplay Entertainment	usr036@gt.edu	Computer Game		Windows	
