item_number,email,card_count
1057,usr143@gt.edu,405
1061,usr144@gt.edu,738
1067,usr145@gt.edu,512
1070,usr145@gt.edu,607
1083,usr146@gt.edu,160
1084,usr146@gt.edu,352
1099,usr148@gt.edu,165
1103,usr148@gt.edu,408
1104,usr148@gt.edu,241
1105,usr148@gt.edu,249
1106,usr148@gt.edu,607
1109,usr149@gt.edu,472
1113,usr150@gt.edu,318
1115,usr150@gt.edu,99
1117,usr151@gt.edu,461
1124,usr151@gt.edu,241
1129,usr152@gt.edu,188
1130,usr152@gt.edu,677
1146,usr155@gt.edu,421
1153,usr156@gt.edu,657
1156,usr157@gt.edu,493
1161,usr157@gt.edu,83
1163,usr157@gt.edu,13
1164,usr157@gt.edu,83
1165,usr157@gt.edu,178
1171,usr158@gt.edu,175
1173,usr158@gt.edu,177
1179,usr159@gt.edu,130
1180,usr159@gt.edu,739
1182,usr159@gt.edu,165
1189,usr160@gt.edu,145
1214,usr164@gt.edu,246
1226,usr165@gt.edu,310
1240,usr166@gt.edu,317
1247,usr168@gt.edu,631
1250,usr169@gt.edu,21
1253,usr169@gt.edu,310
1255,usr169@gt.edu,628
1260,usr170@gt.edu,10
1261,usr170@gt.edu,282
1267,usr172@gt.edu,570
1268,usr172@gt.edu,279
1271,usr172@gt.edu,693
1274,usr173@gt.edu,571
1279,usr173@gt.edu,352
1282,usr174@gt.edu,88
1283,usr174@gt.edu,646
1287,usr175@gt.edu,17
1289,usr175@gt.edu,310
1297,usr176@gt.edu,340
1301,usr177@gt.edu,145
1303,usr177@gt.edu,121
1305,usr178@gt.edu,236
1311,usr178@gt.edu,165
1313,usr178@gt.edu,479
1321,usr179@gt.edu,648
1325,usr180@gt.edu,259
1328,usr180@gt.edu,261
1339,usr182@gt.edu,88
1340,usr182@gt.edu,387
1341,usr182@gt.edu,242
1346,usr182@gt.edu,580
1349,usr182@gt.edu,449
1357,usr184@gt.edu,282
1358,usr184@gt.edu,411
1361,usr184@gt.edu,245
1364,usr184@gt.edu,122
1369,usr185@gt.edu,542
1381,usr186@gt.edu,291
1382,usr186@gt.edu,607
1387,usr187@gt.edu,580
1393,usr188@gt.edu,144
1397,usr188@gt.edu,488
1405,usr189@gt.edu,403
1407,usr189@gt.edu,27
1413,usr191@gt.edu,140
1415,usr191@gt.edu,578
1416,usr191@gt.edu,341
1429,usr193@gt.edu,214
1435,usr193@gt.edu,513
1441,usr194@gt.edu,188
1454,usr196@gt.edu,212
1460,usr196@gt.edu,199
1462,usr196@gt.edu,140
1474,usr198@gt.edu,242
1476,usr198@gt.edu,310
1477,usr198@gt.edu,485
1484,usr199@gt.edu,461
1487,usr199@gt.edu,339
1493,usr200@gt.edu,39
1497,usr201@gt.edu,575
1506,usr202@gt.edu,160
1508,usr202@gt.edu,687
1509,usr203@gt.edu,693
1514,usr203@gt.edu,246
1529,usr204@gt.edu,709
1540,usr205@gt.edu,606
1544,usr206@gt.edu,423
1552,usr207@gt.edu,628
1559,usr207@gt.edu,258
1561,usr208@gt.edu,663
1565,usr208@gt.edu,387
1566,usr208@gt.edu,411
1568,usr209@gt.edu,259
1570,usr209@gt.edu,401
1574,usr210@gt.edu,259
1581,usr211@gt.edu,702
1582,usr211@gt.edu,571
1589,usr212@gt.edu,663
1591,usr212@gt.edu,172
1598,usr213@gt.edu,757
1600,usr213@gt.edu,96
1611,usr214@gt.edu,21
1612,usr214@gt.edu,693
1614,usr214@gt.edu,663
1616,usr214@gt.edu,234
1621,usr215@gt.edu,745
1622,usr215@gt.edu,423
1623,usr216@gt.edu,369
1628,usr216@gt.edu,354
1633,usr216@gt.edu,21
1640,usr217@gt.edu,228
1641,usr217@gt.edu,286
1646,usr218@gt.edu,110
1652,usr218@gt.edu,121
1654,usr219@gt.edu,236
1668,usr220@gt.edu,286
1672,usr221@gt.edu,258
1678,usr222@gt.edu,258
1685,usr223@gt.edu,664
1692,usr223@gt.edu,404
1700,usr226@gt.edu,404
1703,usr226@gt.edu,242
1713,usr228@gt.edu,278
1721,usr228@gt.edu,96
1728,usr230@gt.edu,212
1730,usr230@gt.edu,488
1734,usr231@gt.edu,286
1738,usr231@gt.edu,585
1743,usr232@gt.edu,279
1744,usr232@gt.edu,86
1746,usr232@gt.edu,646
1751,usr234@gt.edu,460
1759,usr235@gt.edu,493
1765,usr236@gt.edu,177
1782,usr238@gt.edu,212
1786,usr239@gt.edu,408
1804,usr240@gt.edu,72
1807,usr241@gt.edu,228
1809,usr241@gt.edu,423
1813,usr241@gt.edu,27
1819,usr242@gt.edu,595
1826,usr243@gt.edu,650
1838,usr245@gt.edu,526
1839,usr245@gt.edu,432
1844,usr246@gt.edu,140
1845,usr246@gt.edu,512
1846,usr246@gt.edu,101
1849,usr247@gt.edu,677
1851,usr247@gt.edu,359
1868,usr249@gt.edu,169
1875,usr250@gt.edu,63
1880,usr251@gt.edu,352
1886,usr253@gt.edu,225
1888,usr253@gt.edu,140
1889,usr253@gt.edu,599
1890,usr253@gt.edu,401
1893,usr253@gt.edu,352
1896,usr254@gt.edu,282
1900,usr255@gt.edu,421
1904,usr255@gt.edu,706
1909,usr255@gt.edu,177
1913,usr256@gt.edu,78
1920,usr257@gt.edu,278
1924,usr257@gt.edu,206
1925,usr257@gt.edu,663
1939,usr260@gt.edu,583
1958,usr263@gt.edu,745
1972,usr264@gt.edu,610
1974,usr265@gt.edu,341
1985,usr266@gt.edu,160
1987,usr266@gt.edu,734
1991,usr267@gt.edu,702
1994,usr267@gt.edu,733
2000,usr269@gt.edu,472
2005,usr269@gt.edu,544
2006,usr269@gt.edu,85
2007,usr270@gt.edu,468
2008,usr270@gt.edu,145
2009,usr270@gt.edu,681
2010,usr270@gt.edu,739
2014,usr270@gt.edu,354
2018,usr271@gt.edu,432
2022,usr271@gt.edu,242
2023,usr271@gt.edu,646
2030,usr272@gt.edu,313
2032,usr272@gt.edu,291
2035,usr273@gt.edu,101
2038,usr273@gt.edu,207
2040,usr273@gt.edu,13
2043,usr273@gt.edu,548
2045,usr274@gt.edu,214
2056,usr275@gt.edu,548
2057,usr275@gt.edu,236
2060,usr275@gt.edu,606
2062,usr275@gt.edu,619
2065,usr276@gt.edu,548
2071,usr277@gt.edu,86
2072,usr277@gt.edu,231
2073,usr277@gt.edu,341
2075,usr278@gt.edu,488
2078,usr278@gt.edu,449
2081,usr278@gt.edu,85
2083,usr279@gt.edu,512
2084,usr279@gt.edu,194
2096,usr281@gt.edu,641
2097,usr281@gt.edu,576
2104,usr282@gt.edu,144
2115,usr283@gt.edu,401
2123,usr284@gt.edu,544
2125,usr284@gt.edu,724
2128,usr285@gt.edu,21
2137,usr285@gt.edu,681
2149,usr288@gt.edu,140
2151,usr288@gt.edu,63
2154,usr289@gt.edu,101
2156,usr289@gt.edu,228
2158,usr289@gt.edu,111
2160,usr289@gt.edu,145
2162,usr290@gt.edu,145
2164,usr290@gt.edu,52
2168,usr291@gt.edu,628
2170,usr291@gt.edu,140
2171,usr291@gt.edu,430
2173,usr292@gt.edu,580
2175,usr292@gt.edu,745
2178,usr293@gt.edu,411
2184,usr294@gt.edu,291
2191,usr294@gt.edu,144
2196,usr296@gt.edu,175
2208,usr297@gt.edu,212
2216,usr298@gt.edu,509
2221,usr299@gt.edu,169
2222,usr299@gt.edu,163
2223,usr299@gt.edu,245
2224,usr299@gt.edu,78
2225,usr299@gt.edu,140
2226,usr299@gt.edu,231
2229,usr299@gt.edu,412
2241,usr301@gt.edu,314
2242,usr302@gt.edu,64
2254,usr304@gt.edu,610
2256,usr304@gt.edu,112
2259,usr305@gt.edu,110
2261,usr305@gt.edu,177
2273,usr308@gt.edu,145
2275,usr308@gt.edu,461
2277,usr308@gt.edu,646
2282,usr309@gt.edu,83
2283,usr309@gt.edu,313
2284,usr309@gt.edu,493
2285,usr309@gt.edu,123
2286,usr309@gt.edu,13
2287,usr309@gt.edu,657
2293,usr310@gt.edu,623
2295,usr311@gt.edu,259
2297,usr311@gt.edu,687
2307,usr312@gt.edu,495
2311,usr313@gt.edu,310
2314,usr313@gt.edu,123
2319,usr314@gt.edu,576
2323,usr314@gt.edu,101
2325,usr314@gt.edu,522
2332,usr315@gt.edu,122
2333,usr315@gt.edu,580
2358,usr318@gt.edu,509
2362,usr319@gt.edu,111
2366,usr319@gt.edu,432
2373,usr320@gt.edu,214
2377,usr320@gt.edu,122
2391,usr322@gt.edu,110
2395,usr323@gt.edu,443
2396,usr323@gt.edu,72
2397,usr323@gt.edu,165
2398,usr323@gt.edu,631
2401,usr324@gt.edu,236
2403,usr325@gt.edu,169
2405,usr325@gt.edu,142
2410,usr325@gt.edu,236
2415,usr326@gt.edu,523
2418,usr327@gt.edu,403
2421,usr327@gt.edu,738
2423,usr327@gt.edu,278
2428,usr328@gt.edu,405
2432,usr328@gt.edu,214
2442,usr330@gt.edu,523
2445,usr331@gt.edu,272
2448,usr331@gt.edu,36
2451,usr332@gt.edu,78
2453,usr333@gt.edu,17
2458,usr333@gt.edu,405
2459,usr333@gt.edu,709
2462,usr334@gt.edu,80
2481,usr336@gt.edu,576
2490,usr337@gt.edu,475
2497,usr337@gt.edu,160
2503,usr338@gt.edu,738
2511,usr340@gt.edu,493
2515,usr340@gt.edu,641
2524,usr342@gt.edu,677
2536,usr343@gt.edu,569
2537,usr343@gt.edu,145
2549,usr344@gt.edu,438
2550,usr344@gt.edu,63
2565,usr348@gt.edu,340
2567,usr348@gt.edu,101
2573,usr349@gt.edu,21
2578,usr349@gt.edu,443
2598,usr352@gt.edu,669
2601,usr353@gt.edu,317
2602,usr353@gt.edu,610
2608,usr354@gt.edu,235
2612,usr354@gt.edu,27
2617,usr355@gt.edu,78
2618,usr355@gt.edu,664
2626,usr356@gt.edu,327
2635,usr357@gt.edu,561
2637,usr357@gt.edu,268
2643,usr358@gt.edu,585
2651,usr359@gt.edu,234
2657,usr360@gt.edu,268
2658,usr360@gt.edu,709
2659,usr360@gt.edu,317
2660,usr360@gt.edu,580
2661,usr360@gt.edu,443
2662,usr360@gt.edu,110
2668,usr360@gt.edu,369
2676,usr362@gt.edu,258
2677,usr362@gt.edu,17
2679,usr362@gt.edu,430
2681,usr362@gt.edu,745
2687,usr362@gt.edu,85
2690,usr363@gt.edu,101
2691,usr363@gt.edu,254
2692,usr363@gt.edu,341
2696,usr363@gt.edu,21
2698,usr364@gt.edu,36
2702,usr364@gt.edu,86
2707,usr364@gt.edu,169
2708,usr365@gt.edu,147
2710,usr365@gt.edu,664
2711,usr365@gt.edu,234
2715,usr366@gt.edu,334
2723,usr367@gt.edu,214
2726,usr368@gt.edu,548
2727,usr368@gt.edu,144
2730,usr368@gt.edu,405
2732,usr369@gt.edu,646
2737,usr369@gt.edu,461
2738,usr369@gt.edu,657
2756,usr371@gt.edu,619
2760,usr371@gt.edu,242
2762,usr372@gt.edu,542
2769,usr372@gt.edu,112
2771,usr372@gt.edu,207
2772,usr372@gt.edu,101
2777,usr373@gt.edu,258
2791,usr375@gt.edu,206
2795,usr376@gt.edu,702
2801,usr377@gt.edu,206
2811,usr378@gt.edu,663
2816,usr379@gt.edu,214
2818,usr379@gt.edu,85
2833,usr381@gt.edu,610
2834,usr381@gt.edu,699
2837,usr381@gt.edu,147
2849,usr383@gt.edu,449
2857,usr384@gt.edu,341
2861,usr384@gt.edu,352
2862,usr384@gt.edu,751
2864,usr385@gt.edu,302
2870,usr385@gt.edu,522
2873,usr385@gt.edu,493
2878,usr386@gt.edu,570
2885,usr387@gt.edu,121
2887,usr387@gt.edu,314
2897,usr388@gt.edu,734
2903,usr389@gt.edu,683
2905,usr389@gt.edu,646
2906,usr389@gt.edu,408
2908,usr389@gt.edu,266
2916,usr390@gt.edu,619
2920,usr390@gt.edu,313
2922,usr391@gt.edu,483
2940,usr393@gt.edu,693
2942,usr393@gt.edu,347
2943,usr393@gt.edu,291
2944,usr393@gt.edu,369
2945,usr393@gt.edu,468
2951,usr395@gt.edu,646
2956,usr395@gt.edu,646
2962,usr396@gt.edu,421
2963,usr396@gt.edu,411
2968,usr396@gt.edu,85
2979,usr397@gt.edu,214
2980,usr398@gt.edu,569
2984,usr398@gt.edu,241
2989,usr398@gt.edu,687
2991,usr399@gt.edu,96
2994,usr399@gt.edu,513
2998,usr400@gt.edu,646
3005,usr401@gt.edu,83
3006,usr401@gt.edu,169
3010,usr402@gt.edu,483
3013,usr403@gt.edu,172
3019,usr403@gt.edu,101
3023,usr404@gt.edu,352
3028,usr404@gt.edu,664
3044,usr405@gt.edu,234
3052,usr407@gt.edu,509
3071,usr410@gt.edu,83
3073,usr410@gt.edu,340
3077,usr410@gt.edu,523
3080,usr411@gt.edu,401
3082,usr411@gt.edu,36
3088,usr412@gt.edu,709
3090,usr412@gt.edu,42
3092,usr412@gt.edu,401
3095,usr412@gt.edu,718
3098,usr413@gt.edu,733
3103,usr413@gt.edu,314
3104,usr413@gt.edu,36
3111,usr414@gt.edu,461
3114,usr414@gt.edu,408
3115,usr415@gt.edu,236
3123,usr416@gt.edu,225
3124,usr416@gt.edu,468
3126,usr417@gt.edu,225
3128,usr417@gt.edu,411
3129,usr417@gt.edu,282
3136,usr418@gt.edu,160
3150,usr420@gt.edu,475
3155,usr421@gt.edu,354
3157,usr421@gt.edu,341
3164,usr422@gt.edu,547
3167,usr423@gt.edu,246
3174,usr425@gt.edu,587
3175,usr425@gt.edu,341
3177,usr426@gt.edu,206
3184,usr427@gt.edu,140
3186,usr427@gt.edu,13
3187,usr427@gt.edu,228
3188,usr428@gt.edu,641
3189,usr428@gt.edu,438
3190,usr428@gt.edu,544
3193,usr428@gt.edu,500
3194,usr429@gt.edu,291
3195,usr429@gt.edu,112
3199,usr429@gt.edu,664
3207,usr430@gt.edu,310
3210,usr430@gt.edu,291
3212,usr431@gt.edu,623
3221,usr432@gt.edu,131
3223,usr433@gt.edu,108
3229,usr434@gt.edu,607
3232,usr434@gt.edu,493
3237,usr436@gt.edu,663
3244,usr437@gt.edu,432
3259,usr439@gt.edu,364
3266,usr440@gt.edu,234
3268,usr440@gt.edu,310
3277,usr442@gt.edu,460
3281,usr443@gt.edu,717
3283,usr443@gt.edu,341
3291,usr444@gt.edu,423
3294,usr445@gt.edu,354
3304,usr446@gt.edu,99
3307,usr446@gt.edu,96
3308,usr446@gt.edu,468
3315,usr448@gt.edu,286
3317,usr448@gt.edu,145
3318,usr448@gt.edu,468
3320,usr449@gt.edu,683
3322,usr449@gt.edu,522
3323,usr449@gt.edu,547
3324,usr449@gt.edu,130
3327,usr450@gt.edu,664
3328,usr450@gt.edu,512
3334,usr450@gt.edu,488
3335,usr451@gt.edu,718
3345,usr451@gt.edu,317
3352,usr452@gt.edu,13
3355,usr452@gt.edu,561
3358,usr453@gt.edu,421
3360,usr453@gt.edu,561
3369,usr454@gt.edu,163
3370,usr454@gt.edu,513
3371,usr455@gt.edu,619
3372,usr455@gt.edu,261
3373,usr455@gt.edu,101
3375,usr456@gt.edu,488
3376,usr456@gt.edu,663
3385,usr457@gt.edu,318
3386,usr457@gt.edu,663
3396,usr458@gt.edu,78
3398,usr458@gt.edu,17
3400,usr459@gt.edu,483
3402,usr459@gt.edu,509
3421,usr462@gt.edu,657
3425,usr463@gt.edu,569
3430,usr464@gt.edu,231
3438,usr464@gt.edu,664
3439,usr465@gt.edu,585
3440,usr465@gt.edu,629
3448,usr466@gt.edu,228
3451,usr467@gt.edu,341
3454,usr467@gt.edu,393
3457,usr468@gt.edu,249
3458,usr468@gt.edu,751
3462,usr469@gt.edu,147
3479,usr472@gt.edu,110
3480,usr472@gt.edu,199
3481,usr473@gt.edu,339
3487,usr473@gt.edu,327
3492,usr474@gt.edu,258
3502,usr475@gt.edu,235
3509,usr476@gt.edu,475
3510,usr476@gt.edu,334
3514,usr477@gt.edu,140
3521,usr477@gt.edu,339
3523,usr478@gt.edu,194
3524,usr478@gt.edu,302
3525,usr478@gt.edu,757
3527,usr478@gt.edu,96
3532,usr479@gt.edu,587
3535,usr480@gt.edu,318
3536,usr480@gt.edu,310
3548,usr481@gt.edu,83
3550,usr482@gt.edu,241
3556,usr482@gt.edu,140
3564,usr483@gt.edu,493
3572,usr485@gt.edu,206
3583,usr487@gt.edu,576
3588,usr488@gt.edu,699
3592,usr488@gt.edu,163
3597,usr488@gt.edu,86
3601,usr489@gt.edu,717
3614,usr491@gt.edu,145
3618,usr492@gt.edu,101
3622,usr493@gt.edu,254
3629,usr493@gt.edu,249
3641,usr495@gt.edu,693
3644,usr495@gt.edu,261
3649,usr496@gt.edu,261
3650,usr496@gt.edu,664
3654,usr497@gt.edu,393
3665,usr498@gt.edu,408
3675,usr500@gt.edu,669
3677,usr500@gt.edu,717
3683,usr501@gt.edu,718
3690,usr502@gt.edu,313
3694,usr502@gt.edu,310
3697,usr502@gt.edu,39
3698,usr502@gt.edu,160
3701,usr502@gt.edu,734
3707,usr503@gt.edu,334
3708,usr503@gt.edu,404
3711,usr504@gt.edu,542
3715,usr504@gt.edu,13
3724,usr506@gt.edu,172
3730,usr506@gt.edu,86
3731,usr506@gt.edu,461
3732,usr506@gt.edu,547
3740,usr507@gt.edu,241
3746,usr508@gt.edu,188
3753,usr509@gt.edu,485
3761,usr510@gt.edu,648
3763,usr510@gt.edu,443
3769,usr511@gt.edu,610
3770,usr511@gt.edu,664
3775,usr512@gt.edu,403
3780,usr512@gt.edu,83
3781,usr512@gt.edu,318
3785,usr512@gt.edu,21
3791,usr513@gt.edu,204
3794,usr513@gt.edu,717
3795,usr513@gt.edu,369
3801,usr514@gt.edu,751
3803,usr514@gt.edu,101
3805,usr515@gt.edu,578
3807,usr515@gt.edu,111
3808,usr515@gt.edu,408
3811,usr515@gt.edu,175
3815,usr516@gt.edu,734
3822,usr516@gt.edu,544
3829,usr517@gt.edu,460
3832,usr517@gt.edu,583
3834,usr518@gt.edu,432
3841,usr518@gt.edu,140
3851,usr519@gt.edu,587
3854,usr520@gt.edu,122
3858,usr520@gt.edu,512
3890,usr525@gt.edu,497
3892,usr526@gt.edu,739
3903,usr527@gt.edu,36
3904,usr527@gt.edu,83
3913,usr528@gt.edu,677
3918,usr528@gt.edu,165
3923,usr529@gt.edu,70
3930,usr530@gt.edu,599
3936,usr531@gt.edu,526
3945,usr531@gt.edu,10
3947,usr532@gt.edu,421
3948,usr532@gt.edu,443
3950,usr532@gt.edu,610
3951,usr532@gt.edu,745
3957,usr534@gt.edu,188
3958,usr534@gt.edu,405
3959,usr534@gt.edu,339
3960,usr534@gt.edu,78
3961,usr534@gt.edu,421
3964,usr534@gt.edu,112
3969,usr535@gt.edu,717
3974,usr535@gt.edu,259
3975,usr535@gt.edu,687
3981,usr536@gt.edu,21
3983,usr537@gt.edu,361
3991,usr538@gt.edu,63
4009,usr540@gt.edu,364
4010,usr540@gt.edu,488
4014,usr541@gt.edu,282
4023,usr544@gt.edu,607
4028,usr544@gt.edu,160
4030,usr544@gt.edu,443
4036,usr545@gt.edu,121
4039,usr546@gt.edu,111
4051,usr547@gt.edu,485
4060,usr549@gt.edu,88
4069,usr550@gt.edu,699
4070,usr550@gt.edu,235
4073,usr550@gt.edu,178
4075,usr550@gt.edu,415
4080,usr551@gt.edu,80
4083,usr552@gt.edu,421
4084,usr552@gt.edu,279
4085,usr552@gt.edu,449
4086,usr552@gt.edu,130
4090,usr552@gt.edu,318
4100,usr554@gt.edu,709
4103,usr554@gt.edu,738
4105,usr554@gt.edu,663
4117,usr555@gt.edu,607
4120,usr556@gt.edu,461
4121,usr556@gt.edu,369
4122,usr557@gt.edu,610
4125,usr557@gt.edu,212
4127,usr557@gt.edu,249
4129,usr558@gt.edu,650
4140,usr560@gt.edu,544
4155,usr562@gt.edu,628
4157,usr563@gt.edu,317
4163,usr563@gt.edu,746
4169,usr564@gt.edu,341
4170,usr564@gt.edu,411
4171,usr564@gt.edu,317
4175,usr564@gt.edu,317
4181,usr565@gt.edu,160
4183,usr565@gt.edu,544
4184,usr565@gt.edu,646
4186,usr565@gt.edu,291
4208,usr569@gt.edu,526
4209,usr569@gt.edu,663
4210,usr569@gt.edu,206
4213,usr570@gt.edu,569
4218,usr570@gt.edu,122
4227,usr572@gt.edu,63
4234,usr572@gt.edu,475
4236,usr572@gt.edu,405
4237,usr573@gt.edu,13
4244,usr573@gt.edu,738
4247,usr573@gt.edu,576
4249,usr574@gt.edu,657
4251,usr574@gt.edu,246
4256,usr575@gt.edu,411
4259,usr575@gt.edu,569
4263,usr576@gt.edu,650
4265,usr576@gt.edu,78
4277,usr578@gt.edu,211
4285,usr579@gt.edu,401
4286,usr579@gt.edu,751
4295,usr580@gt.edu,212
4297,usr581@gt.edu,85
4300,usr581@gt.edu,738
4303,usr582@gt.edu,166
4304,usr583@gt.edu,587
4310,usr583@gt.edu,461
4318,usr584@gt.edu,140
4326,usr585@gt.edu,575
4329,usr586@gt.edu,236
4330,usr586@gt.edu,464
4334,usr586@gt.edu,669
4337,usr586@gt.edu,108
4338,usr587@gt.edu,663
4343,usr588@gt.edu,313
4346,usr588@gt.edu,738
4351,usr589@gt.edu,404
4357,usr589@gt.edu,738
4361,usr590@gt.edu,347
4362,usr590@gt.edu,122
4374,usr592@gt.edu,172
4380,usr593@gt.edu,122
4383,usr594@gt.edu,131
4391,usr595@gt.edu,163
4392,usr595@gt.edu,664
4403,usr596@gt.edu,145
4406,usr597@gt.edu,259
4416,usr599@gt.edu,415
4418,usr599@gt.edu,214
4425,usr599@gt.edu,693
4426,usr599@gt.edu,663
4427,usr599@gt.edu,52
4428,usr600@gt.edu,235
4435,usr601@gt.edu,175
4440,usr601@gt.edu,165
4449,usr603@gt.edu,272
4454,usr603@gt.edu,629
4467,usr605@gt.edu,142
4484,usr607@gt.edu,259
4486,usr608@gt.edu,228
4488,usr608@gt.edu,228
4492,usr608@gt.edu,513
4493,usr608@gt.edu,70
4494,usr608@gt.edu,359
4498,usr609@gt.edu,575
4500,usr610@gt.edu,468
4508,usr611@gt.edu,497
4510,usr611@gt.edu,194
4511,usr611@gt.edu,369
4513,usr611@gt.edu,569
4517,usr612@gt.edu,570
4519,usr612@gt.edu,430
4523,usr612@gt.edu,282
4546,usr615@gt.edu,327
4549,usr616@gt.edu,310
4551,usr616@gt.edu,483
4560,usr617@gt.edu,123
4566,usr618@gt.edu,576
4572,usr618@gt.edu,522
4573,usr618@gt.edu,169
4574,usr618@gt.edu,648
