item_number,email,platform,media
297,usr043@gt.edu,Nintendo,Game card
305,usr044@gt.edu,Nintendo,Game card
306,usr044@gt.edu,Xbox,Cartridge
311,usr045@gt.edu,Nintendo,Game card
312,usr045@gt.edu,Xbox,Game card
313,usr045@gt.edu,Xbox,Game card
326,usr047@gt.edu,Xbox,Optical disc
327,usr047@gt.edu,Nintendo,Game card
328,usr047@gt.edu,PlayStation,Game card
329,usr047@gt.edu,Nintendo,Game card
330,usr047@gt.edu,PlayStation,Game card
331,usr047@gt.edu,PlayStation,Optical disc
332,usr048@gt.edu,PlayStation,Game card
336,usr048@gt.edu,Xbox,Game card
338,usr048@gt.edu,PlayStation,Optical disc
340,usr048@gt.edu,PlayStation,Optical disc
342,usr049@gt.edu,Xbox,Game card
345,usr049@gt.edu,Xbox,Cartridge
346,usr049@gt.edu,Xbox,Game card
356,usr050@gt.edu,Xbox,Game card
357,usr050@gt.edu,Nintendo,Game card
361,usr051@gt.edu,Xbox,Game card
362,usr051@gt.edu,Nintendo,Game card
366,usr051@gt.edu,Xbox,Cartridge
369,usr052@gt.edu,Nintendo,Cartridge
370,usr052@gt.edu,PlayStation,Game card
374,usr052@gt.edu,PlayStation,Cartridge
377,usr052@gt.edu,Nintendo,Cartridge
382,usr053@gt.edu,Xbox,Optical disc
388,usr054@gt.edu,Xbox,Game card
390,usr054@gt.edu,PlayStation,Cartridge
392,usr054@gt.edu,Nintendo,Cartridge
393,usr054@gt.edu,Nintendo,Cartridge
394,usr054@gt.edu,Nintendo,Game card
395,usr054@gt.edu,Xbox,Game card
397,usr055@gt.edu,Xbox,Game card
400,usr055@gt.edu,Nintendo,Optical disc
402,usr055@gt.edu,Nintendo,Optical disc
403,usr055@gt.edu,Xbox,Game card
404,usr055@gt.edu,Xbox,Cartridge
408,usr056@gt.edu,Nintendo,Cartridge
419,usr057@gt.edu,Xbox,Optical disc
421,usr057@gt.edu,Xbox,Game card
423,usr057@gt.edu,PlayStation,Game card
428,usr059@gt.edu,PlayStation,Optical disc
430,usr059@gt.edu,Nintendo,Game card
432,usr059@gt.edu,Xbox,Cartridge
433,usr059@gt.edu,PlayStation,Game card
436,usr059@gt.edu,Xbox,Game card
438,usr059@gt.edu,PlayStation,Cartridge
439,usr060@gt.edu,Nintendo,Optical disc
442,usr060@gt.edu,PlayStation,Optical disc
444,usr060@gt.edu,PlayStation,Optical disc
449,usr060@gt.edu,PlayStation,Game card
458,usr063@gt.edu,PlayStation,Optical disc
459,usr063@gt.edu,Xbox,Game card
462,usr063@gt.edu,Xbox,Optical disc
464,usr063@gt.edu,Xbox,Optical disc
466,usr063@gt.edu,Xbox,Optical disc
467,usr063@gt.edu,Nintendo,Optical disc
479,usr065@gt.edu,Xbox,Game card
484,usr066@gt.edu,Xbox,Optical disc
487,usr066@gt.edu,Nintendo,Optical disc
494,usr067@gt.edu,Nintendo,Cartridge
501,usr068@gt.edu,Xbox,Game card
510,usr069@gt.edu,Nintendo,Optical disc
513,usr069@gt.edu,Xbox,Cartridge
518,usr070@gt.edu,Nintendo,Optical disc
520,usr071@gt.edu,Xbox,Cartridge
522,usr071@gt.edu,Xbox,Optical disc
523,usr071@gt.edu,PlayStation,Game card
528,usr073@gt.edu,Nintendo,Game card
531,usr073@gt.edu,Xbox,Cartridge
542,usr075@gt.edu,PlayStation,Optical disc
544,usr076@gt.edu,Xbox,Optical disc
545,usr076@gt.edu,Nintendo,Optical disc
550,usr076@gt.edu,Nintendo,Optical disc
551,usr077@gt.edu,Nintendo,Cartridge
558,usr078@gt.edu,Nintendo,Optical disc
563,usr078@gt.edu,PlayStation,Game card
565,usr079@gt.edu,Xbox,Optical disc
572,usr079@gt.edu,Xbox,Optical disc
577,usr080@gt.edu,Xbox,Game card
583,usr081@gt.edu,Xbox,Cartridge
584,usr081@gt.edu,PlayStation,Optical disc
586,usr081@gt.edu,PlayStation,Game card
592,usr081@gt.edu,PlayStation,Optical disc
597,usr082@gt.edu,Nintendo,Optical disc
598,usr082@gt.edu,Nintendo,Game card
602,usr083@gt.edu,PlayStation,Cartridge
603,usr083@gt.edu,Xbox,Optical disc
604,usr083@gt.edu,Nintendo,Game card
605,usr083@gt.edu,PlayStation,Cartridge
607,usr083@gt.edu,Xbox,Optical disc
608,usr083@gt.edu,Xbox,Cartridge
611,usr083@gt.edu,Xbox,Game card
614,usr084@gt.edu,Nintendo,Optical disc
615,usr084@gt.edu,Xbox,Cartridge
622,usr084@gt.edu,Nintendo,Game card
625,usr085@gt.edu,PlayStation,Optical disc
631,usr086@gt.edu,Nintendo,Optical disc
632,usr086@gt.edu,Xbox,Game card
635,usr086@gt.edu,Xbox,Game card
639,usr086@gt.edu,Nintendo,Game card
640,usr086@gt.edu,Xbox,Game card
641,usr086@gt.edu,Nintendo,Cartridge
648,usr087@gt.edu,Xbox,Optical disc
649,usr087@gt.edu,Nintendo,Cartridge
650,usr088@gt.edu,PlayStation,Game card
651,usr088@gt.edu,PlayStation,Game card
654,usr088@gt.edu,PlayStation,Cartridge
658,usr088@gt.edu,Xbox,Optical disc
660,usr088@gt.edu,Xbox,Optical disc
663,usr089@gt.edu,Nintendo,Cartridge
666,usr089@gt.edu,Xbox,Cartridge
668,usr089@gt.edu,Nintendo,Optical disc
675,usr090@gt.edu,Xbox,Game card
678,usr090@gt.edu,Xbox,Optical disc
682,usr091@gt.edu,Nintendo,Game card
685,usr091@gt.edu,PlayStation,Optical disc
689,usr092@gt.edu,Nintendo,Cartridge
690,usr092@gt.edu,Xbox,Cartridge
691,usr092@gt.edu,Nintendo,Cartridge
692,usr092@gt.edu,Xbox,Game card
700,usr093@gt.edu,Nintendo,Optical disc
704,usr093@gt.edu,PlayStation,Cartridge
706,usr093@gt.edu,Nintendo,Optical disc
708,usr094@gt.edu,Xbox,Cartridge
709,usr094@gt.edu,Xbox,Game card
710,usr094@gt.edu,PlayStation,Cartridge
711,usr094@gt.edu,Xbox,Cartridge
712,usr094@gt.edu,Xbox,Optical disc
714,usr094@gt.edu,Nintendo,Optical disc
716,usr094@gt.edu,Xbox,Optical disc
718,usr094@gt.edu,Nintendo,Game card
723,usr095@gt.edu,Xbox,Cartridge
725,usr095@gt.edu,Xbox,Game card
729,usr096@gt.edu,Xbox,Game card
731,usr096@gt.edu,Xbox,Optical disc
740,usr097@gt.edu,Xbox,Optical disc
750,usr098@gt.edu,PlayStation,Game card
751,usr098@gt.edu,Nintendo,Optical disc
752,usr098@gt.edu,Nintendo,Game card
753,usr098@gt.edu,Xbox,Game card
757,usr098@gt.edu,Nintendo,Game card
759,usr099@gt.edu,Nintendo,Cartridge
760,usr099@gt.edu,PlayStation,Cartridge
763,usr100@gt.edu,Xbox,Optical disc
769,usr101@gt.edu,PlayStation,Cartridge
780,usr103@gt.edu,Xbox,Optical disc
788,usr104@gt.edu,PlayStation,Optical disc
789,usr104@gt.edu,Xbox,Game card
791,usr104@gt.edu,Xbox,Optical disc
794,usr104@gt.edu,Xbox,Game card
795,usr104@gt.edu,Nintendo,Cartridge
797,usr105@gt.edu,PlayStation,Optical disc
801,usr106@gt.edu,Nintendo,Optical disc
804,usr107@gt.edu,Xbox,Game card
815,usr108@gt.edu,PlayStation,Cartridge
818,usr108@gt.edu,PlayStation,Optical disc
834,usr110@gt.edu,Nintendo,Game card
837,usr111@gt.edu,Nintendo,Cartridge
838,usr111@gt.edu,PlayStation,Cartridge
839,usr111@gt.edu,Nintendo,Cartridge
841,usr111@gt.edu,Xbox,Cartridge
845,usr112@gt.edu,Xbox,Cartridge
847,usr112@gt.edu,Xbox,Game card
849,usr113@gt.edu,Xbox,Cartridge
853,usr113@gt.edu,Nintendo,Game card
857,usr114@gt.edu,PlayStation,Cartridge
858,usr114@gt.edu,Xbox,Game card
861,usr114@gt.edu,Nintendo,Optical disc
868,usr115@gt.edu,PlayStation,Optical disc
871,usr115@gt.edu,Nintendo,Game card
873,usr115@gt.edu,Xbox,Game card
874,usr116@gt.edu,Nintendo,Cartridge
875,usr116@gt.edu,Nintendo,Game card
885,usr117@gt.edu,Nintendo,Cartridge
888,usr117@gt.edu,PlayStation,Cartridge
890,usr118@gt.edu,PlayStation,Optical disc
891,usr118@gt.edu,PlayStation,Cartridge
892,usr118@gt.edu,Xbox,Game card
896,usr118@gt.edu,PlayStation,Optical disc
897,usr118@gt.edu,Xbox,Optical disc
898,usr118@gt.edu,Xbox,Cartridge
899,usr119@gt.edu,PlayStation,Game card
906,usr120@gt.edu,Nintendo,Game card
908,usr120@gt.edu,Nintendo,Optical disc
910,usr120@gt.edu,Xbox,Optical disc
911,usr121@gt.edu,Xbox,Optical disc
926,usr124@gt.edu,PlayStation,Optical disc
928,usr124@gt.edu,PlayStation,Optical disc
931,usr124@gt.edu,Nintendo,Game card
933,usr125@gt.edu,Xbox,Game card
940,usr126@gt.edu,PlayStation,Cartridge
941,usr126@gt.edu,Nintendo,Game card
943,usr126@gt.edu,Nintendo,Game card
946,usr127@gt.edu,Xbox,Cartridge
951,usr128@gt.edu,PlayStation,Cartridge
956,usr128@gt.edu,Xbox,Cartridge
957,usr128@gt.edu,PlayStation,Cartridge
964,usr129@gt.edu,PlayStation,Cartridge
966,usr129@gt.edu,Nintendo,Optical disc
969,usr130@gt.edu,Xbox,Game card
970,usr130@gt.edu,Xbox,Game card
976,usr131@gt.edu,Nintendo,Game card
978,usr132@gt.edu,Nintendo,Optical disc
985,usr133@gt.edu,PlayStation,Optical disc
986,usr133@gt.edu,PlayStation,Cartridge
987,usr133@gt.edu,Nintendo,Game card
989,usr133@gt.edu,PlayStation,Cartridge
993,usr134@gt.edu,Xbox,Cartridge
998,usr135@gt.edu,Xbox,Optical disc
999,usr135@gt.edu,Xbox,Cartridge
1010,usr137@gt.edu,PlayStation,Optical disc
1011,usr137@gt.edu,PlayStation,Cartridge
1016,usr138@gt.edu,Xbox,Optical disc
1019,usr138@gt.edu,Nintendo,Game card
1029,usr139@gt.edu,PlayStation,Optical disc
1032,usr139@gt.edu,PlayStation,Game card
1033,usr139@gt.edu,Nintendo,Cartridge
1040,usr141@gt.edu,PlayStation,Optical disc
1047,usr142@gt.edu,Xbox,Cartridge
1051,usr142@gt.edu,PlayStation,Optical disc
1059,usr143@gt.edu,Xbox,Game card
1060,usr144@gt.edu,Nintendo,Optical disc
1064,usr145@gt.edu,PlayStation,Cartridge
1068,usr145@gt.edu,Nintendo,Game card
1072,usr145@gt.edu,PlayStation,Cartridge
1077,usr146@gt.edu,Nintendo,Cartridge
1080,usr146@gt.edu,Nintendo,Cartridge
1082,usr146@gt.edu,Nintendo,Optical disc
1086,usr146@gt.edu,Nintendo,Game card
1090,usr147@gt.edu,Nintendo,Game card
1092,usr147@gt.edu,Nintendo,Optical disc
1094,usr147@gt.edu,Xbox,Game card
1095,usr147@gt.edu,Xbox,Optical disc
1097,usr148@gt.edu,Xbox,Game card
1098,usr148@gt.edu,Xbox,Optical disc
1100,usr148@gt.edu,Xbox,Optical disc
1102,usr148@gt.edu,Nintendo,Game card
1116,usr150@gt.edu,Xbox,Game card
1119,usr151@gt.edu,Xbox,Cartridge
1125,usr152@gt.edu,Xbox,Game card
1128,usr152@gt.edu,Nintendo,Game card
1132,usr152@gt.edu,Xbox,Cartridge
1133,usr153@gt.edu,PlayStation,Optical disc
1134,usr153@gt.edu,Nintendo,Game card
1135,usr153@gt.edu,Xbox,Optical disc
1137,usr153@gt.edu,Nintendo,Game card
1141,usr154@gt.edu,Xbox,Game card
1147,usr155@gt.edu,Nintendo,Game card
1148,usr156@gt.edu,Xbox,Optical disc
1151,usr156@gt.edu,Nintendo,Cartridge
1158,usr157@gt.edu,PlayStation,Game card
1160,usr157@gt.edu,PlayStation,Cartridge
1162,usr157@gt.edu,Xbox,Optical disc
1166,usr158@gt.edu,Nintendo,Cartridge
1167,usr158@gt.edu,Xbox,Game card
1169,usr158@gt.edu,Xbox,Game card
1170,usr158@gt.edu,Nintendo,Optical disc
1184,usr159@gt.edu,Xbox,Cartridge
1185,usr160@gt.edu,Nintendo,Game card
1191,usr160@gt.edu,Xbox,Cartridge
1195,usr161@gt.edu,Nintendo,Cartridge
1196,usr161@gt.edu,Xbox,Optical disc
1198,usr161@gt.edu,PlayStation,Optical disc
1199,usr161@gt.edu,Nintendo,Optical disc
1200,usr161@gt.edu,Xbox,Optical disc
1203,usr161@gt.edu,PlayStation,Cartridge
1205,usr162@gt.edu,Nintendo,Cartridge
1206,usr162@gt.edu,Nintendo,Optical disc
1207,usr162@gt.edu,Nintendo,Cartridge
1217,usr164@gt.edu,PlayStation,Game card
1225,usr165@gt.edu,Xbox,Game card
1227,usr165@gt.edu,PlayStation,Game card
1236,usr166@gt.edu,Nintendo,Cartridge
1238,usr166@gt.edu,Xbox,Cartridge
1244,usr167@gt.edu,PlayStation,Cartridge
1252,usr169@gt.edu,PlayStation,Cartridge
1262,usr171@gt.edu,Xbox,Game card
1264,usr171@gt.edu,Xbox,Cartridge
1269,usr172@gt.edu,Nintendo,Optical disc
1270,usr172@gt.edu,Xbox,Cartridge
1276,usr173@gt.edu,PlayStation,Cartridge
1278,usr173@gt.edu,Nintendo,Optical disc
1281,usr173@gt.edu,PlayStation,Cartridge
1290,usr175@gt.edu,Nintendo,Game card
1296,usr176@gt.edu,Xbox,Cartridge
1298,usr176@gt.edu,Xbox,Cartridge
1302,usr177@gt.edu,PlayStation,Optical disc
1308,usr178@gt.edu,PlayStation,Game card
1309,usr178@gt.edu,PlayStation,Cartridge
1312,usr178@gt.edu,Nintendo,Game card
1314,usr178@gt.edu,PlayStation,Cartridge
1315,usr178@gt.edu,PlayStation,Cartridge
1318,usr179@gt.edu,Xbox,Optical disc
1319,usr179@gt.edu,Xbox,Optical disc
1322,usr179@gt.edu,Xbox,Optical disc
1324,usr179@gt.edu,Nintendo,Cartridge
1326,usr180@gt.edu,Nintendo,Optical disc
1327,usr180@gt.edu,PlayStation,Optical disc
1329,usr181@gt.edu,Nintendo,Optical disc
1330,usr181@gt.edu,Nintendo,Game card
1332,usr181@gt.edu,Nintendo,Game card
1333,usr181@gt.edu,Nintendo,Game card
1336,usr181@gt.edu,Xbox,Optical disc
1343,usr182@gt.edu,Nintendo,Game card
1344,usr182@gt.edu,Nintendo,Optical disc
1345,usr182@gt.edu,PlayStation,Cartridge
1348,usr182@gt.edu,Xbox,Game card
1353,usr183@gt.edu,PlayStation,Cartridge
1356,usr184@gt.edu,Nintendo,Optical disc
1359,usr184@gt.edu,Xbox,Cartridge
1366,usr185@gt.edu,PlayStation,Cartridge
1367,usr185@gt.edu,Xbox,Optical disc
1372,usr185@gt.edu,Nintendo,Cartridge
1375,usr185@gt.edu,PlayStation,Cartridge
1376,usr185@gt.edu,Nintendo,Optical disc
1377,usr186@gt.edu,Xbox,Optical disc
1380,usr186@gt.edu,Nintendo,Game card
1389,usr187@gt.edu,Xbox,Optical disc
1391,usr188@gt.edu,Nintendo,Cartridge
1395,usr188@gt.edu,Nintendo,Game card
1396,usr188@gt.edu,PlayStation,Optical disc
1398,usr188@gt.edu,PlayStation,Cartridge
1399,usr188@gt.edu,Nintendo,Optical disc
1404,usr189@gt.edu,Xbox,Optical disc
1406,usr189@gt.edu,Nintendo,Optical disc
1417,usr191@gt.edu,Nintendo,Cartridge
1424,usr192@gt.edu,Xbox,Optical disc
1426,usr192@gt.edu,PlayStation,Game card
1431,usr193@gt.edu,Nintendo,Game card
1443,usr194@gt.edu,Nintendo,Game card
1444,usr194@gt.edu,Xbox,Game card
1447,usr194@gt.edu,PlayStation,Cartridge
1448,usr194@gt.edu,Xbox,Game card
1450,usr195@gt.edu,Xbox,Cartridge
1457,usr196@gt.edu,Nintendo,Cartridge
1458,usr196@gt.edu,Nintendo,Game card
1459,usr196@gt.edu,Xbox,Cartridge
1461,usr196@gt.edu,Xbox,Game card
1467,usr197@gt.edu,Xbox,Optical disc
1468,usr197@gt.edu,Xbox,Game card
1470,usr197@gt.edu,Xbox,Optical disc
1472,usr197@gt.edu,PlayStation,Optical disc
1475,usr198@gt.edu,Nintendo,Game card
1480,usr198@gt.edu,Xbox,Optical disc
1481,usr199@gt.edu,Xbox,Game card
1482,usr199@gt.edu,PlayStation,Optical disc
1485,usr199@gt.edu,Xbox,Optical disc
1489,usr200@gt.edu,PlayStation,Optical disc
1492,usr200@gt.edu,Nintendo,Game card
1498,usr201@gt.edu,Xbox,Optical disc
1499,usr201@gt.edu,Nintendo,Cartridge
1501,usr201@gt.edu,Xbox,Cartridge
1505,usr202@gt.edu,PlayStation,Optical disc
1511,usr203@gt.edu,Nintendo,Cartridge
1512,usr203@gt.edu,Nintendo,Game card
1516,usr203@gt.edu,Nintendo,Game card
1518,usr203@gt.edu,PlayStation,Game card
1521,usr204@gt.edu,Xbox,Optical disc
1523,usr204@gt.edu,Nintendo,Optical disc
1525,usr204@gt.edu,Xbox,Game card
1526,usr204@gt.edu,PlayStation,Cartridge
1531,usr205@gt.edu,Nintendo,Game card
1532,usr205@gt.edu,Nintendo,Game card
1535,usr205@gt.edu,Xbox,Cartridge
1536,usr205@gt.edu,Nintendo,Optical disc
1537,usr205@gt.edu,Xbox,Game card
1538,usr205@gt.edu,Xbox,Cartridge
1548,usr206@gt.edu,Nintendo,Game card
1550,usr206@gt.edu,PlayStation,Game card
1551,usr206@gt.edu,Xbox,Cartridge
1553,usr207@gt.edu,Nintendo,Game card
1554,usr207@gt.edu,PlayStation,Cartridge
1557,usr207@gt.edu,Xbox,Cartridge
1558,usr207@gt.edu,Xbox,Optical disc
1572,usr210@gt.edu,PlayStation,Cartridge
1573,usr210@gt.edu,Nintendo,Game card
1576,usr210@gt.edu,Nintendo,Cartridge
1578,usr210@gt.edu,Xbox,Game card
1585,usr211@gt.edu,Xbox,Cartridge
1586,usr211@gt.edu,Xbox,Cartridge
1593,usr212@gt.edu,Xbox,Cartridge
1597,usr213@gt.edu,Xbox,Game card
1601,usr213@gt.edu,PlayStation,Game card
1602,usr213@gt.edu,PlayStation,Cartridge
1604,usr213@gt.edu,Xbox,Game card
1606,usr214@gt.edu,Nintendo,Optical disc
1608,usr214@gt.edu,PlayStation,Optical disc
1617,usr215@gt.edu,Xbox,Cartridge
1619,usr215@gt.edu,Xbox,Game card
1627,usr216@gt.edu,PlayStation,Optical disc
1630,usr216@gt.edu,PlayStation,Optical disc
1634,usr217@gt.edu,PlayStation,Optical disc
1643,usr217@gt.edu,Xbox,Game card
1644,usr217@gt.edu,Xbox,Cartridge
1645,usr217@gt.edu,Xbox,Optical disc
1656,usr219@gt.edu,Nintendo,Game card
1657,usr219@gt.edu,PlayStation,Cartridge
1663,usr220@gt.edu,Xbox,Optical disc
1669,usr220@gt.edu,PlayStation,Cartridge
1670,usr220@gt.edu,Xbox,Optical disc
1675,usr221@gt.edu,Nintendo,Cartridge
1677,usr222@gt.edu,Xbox,Optical disc
1681,usr222@gt.edu,Xbox,Optical disc
1683,usr222@gt.edu,PlayStation,Cartridge
1684,usr222@gt.edu,Xbox,Game card
1688,usr223@gt.edu,Xbox,Game card
1689,usr223@gt.edu,Xbox,Cartridge
1690,usr223@gt.edu,Nintendo,Game card
1691,usr223@gt.edu,Xbox,Optical disc
1698,usr225@gt.edu,Nintendo,Game card
1699,usr225@gt.edu,Xbox,Optical disc
1701,usr226@gt.edu,Nintendo,Optical disc
1704,usr226@gt.edu,Nintendo,Cartridge
1705,usr226@gt.edu,Xbox,Cartridge
1706,usr227@gt.edu,Xbox,Optical disc
1710,usr228@gt.edu,Nintendo,Optical disc
1714,usr228@gt.edu,PlayStation,Cartridge
1715,usr228@gt.edu,Nintendo,Game card
1716,usr228@gt.edu,Nintendo,Cartridge
1718,usr228@gt.edu,Nintendo,Optical disc
1719,usr228@gt.edu,Xbox,Game card
1720,usr228@gt.edu,PlayStation,Cartridge
1722,usr229@gt.edu,PlayStation,Cartridge
1724,usr229@gt.edu,Xbox,Game card
1725,usr229@gt.edu,PlayStation,Cartridge
1727,usr229@gt.edu,PlayStation,Cartridge
1729,usr230@gt.edu,Xbox,Optical disc
1731,usr231@gt.edu,PlayStation,Optical disc
1733,usr231@gt.edu,Nintendo,Cartridge
1737,usr231@gt.edu,Nintendo,Game card
1742,usr232@gt.edu,Nintendo,Cartridge
1745,usr232@gt.edu,Xbox,Game card
1753,usr234@gt.edu,Nintendo,Optical disc
1754,usr234@gt.edu,PlayStation,Game card
1756,usr235@gt.edu,Xbox,Game card
1758,usr235@gt.edu,Xbox,Cartridge
1761,usr236@gt.edu,PlayStation,Cartridge
1763,usr236@gt.edu,Nintendo,Optical disc
1764,usr236@gt.edu,Nintendo,Cartridge
1766,usr236@gt.edu,Nintendo,Optical disc
1767,usr236@gt.edu,Xbox,Optical disc
1769,usr236@gt.edu,PlayStation,Optical disc
1770,usr237@gt.edu,Xbox,Game card
1774,usr237@gt.edu,Xbox,Optical disc
1777,usr238@gt.edu,Xbox,Optical disc
1781,usr238@gt.edu,Xbox,Game card
1785,usr239@gt.edu,Xbox,Optical disc
1788,usr239@gt.edu,PlayStation,Game card
1792,usr239@gt.edu,Xbox,Cartridge
1795,usr240@gt.edu,Nintendo,Cartridge
1798,usr240@gt.edu,Xbox,Game card
1801,usr240@gt.edu,Xbox,Game card
1805,usr240@gt.edu,Nintendo,Game card
1806,usr241@gt.edu,PlayStation,Cartridge
1810,usr241@gt.edu,Xbox,Optical disc
1812,usr241@gt.edu,Nintendo,Cartridge
1815,usr242@gt.edu,Nintendo,Game card
1817,usr242@gt.edu,Nintendo,Optical disc
1818,usr242@gt.edu,Nintendo,Game card
1820,usr242@gt.edu,Nintendo,Optical disc
1823,usr242@gt.edu,Nintendo,Game card
1825,usr243@gt.edu,Xbox,Game card
1830,usr244@gt.edu,Nintendo,Optical disc
1831,usr245@gt.edu,Xbox,Cartridge
1835,usr245@gt.edu,Xbox,Game card
1836,usr245@gt.edu,Xbox,Optical disc
1837,usr245@gt.edu,Xbox,Cartridge
1840,usr246@gt.edu,Nintendo,Cartridge
1848,usr246@gt.edu,Xbox,Cartridge
1854,usr247@gt.edu,PlayStation,Optical disc
1856,usr247@gt.edu,Xbox,Game card
1858,usr248@gt.edu,Nintendo,Cartridge
1861,usr248@gt.edu,PlayStation,Game card
1864,usr248@gt.edu,PlayStation,Cartridge
1869,usr249@gt.edu,PlayStation,Game card
1876,usr250@gt.edu,Nintendo,Cartridge
1877,usr250@gt.edu,Xbox,Game card
1878,usr251@gt.edu,Xbox,Optical disc
1884,usr252@gt.edu,Xbox,Cartridge
1892,usr253@gt.edu,Xbox,Optical disc
1898,usr254@gt.edu,Xbox,Game card
1901,usr255@gt.edu,PlayStation,Cartridge
1902,usr255@gt.edu,Xbox,Cartridge
1910,usr255@gt.edu,PlayStation,Cartridge
1911,usr255@gt.edu,Nintendo,Optical disc
1927,usr258@gt.edu,Nintendo,Game card
1928,usr258@gt.edu,PlayStation,Cartridge
1929,usr258@gt.edu,Xbox,Game card
1930,usr258@gt.edu,Xbox,Game card
1936,usr259@gt.edu,Xbox,Game card
1938,usr260@gt.edu,Nintendo,Optical disc
