item_number,email
3053,usr407@gt.edu
3062,usr408@gt.edu
3066,usr409@gt.edu
3081,usr411@gt.edu
3084,usr411@gt.edu
3100,usr413@gt.edu
3110,usr414@gt.edu
3120,usr416@gt.edu
3132,usr418@gt.edu
3152,usr421@gt.edu
3171,usr424@gt.edu
3196,usr429@gt.edu
3239,usr436@gt.edu
3249,usr438@gt.edu
3250,usr438@gt.edu
3254,usr438@gt.edu
3284,usr443@gt.edu
3285,usr443@gt.edu
3288,usr443@gt.edu
3289,usr443@gt.edu
3354,usr452@gt.edu
3357,usr452@gt.edu
3450,usr466@gt.edu
3471,usr470@gt.edu
3474,usr471@gt.edu
3475,usr471@gt.edu
3500,usr475@gt.edu
3520,usr477@gt.edu
3522,usr477@gt.edu
3555,usr482@gt.edu
3596,usr488@gt.edu
3646,usr495@gt.edu
3741,usr507@gt.edu
3766,usr510@gt.edu
3806,usr515@gt.edu
3831,usr517@gt.edu
3839,usr518@gt.edu
3899,usr526@gt.edu
3993,usr538@gt.edu
3995,usr538@gt.edu
4019,usr543@gt.edu
4093,usr553@gt.edu
4108,usr555@gt.edu
4110,usr555@gt.edu
4124,usr557@gt.edu
4133,usr559@gt.edu
4160,usr563@gt.edu
4167,usr564@gt.edu
4180,usr565@gt.edu
4190,usr566@gt.edu
4248,usr573@gt.edu
4284,usr579@gt.edu
4327,usr585@gt.edu
4333,usr586@gt.edu
4405,usr596@gt.edu
4407,usr597@gt.edu
4419,usr599@gt.edu
4464,usr604@gt.edu
4475,usr606@gt.edu
4476,usr606@gt.edu
4550,usr616@gt.edu
4575,usr618@gt.edu
4579,usr620@gt.edu
4613,usr625@gt.edu
4637,usr628@gt.edu
4646,usr629@gt.edu
4656,usr630@gt.edu
4659,usr630@gt.edu
4665,usr631@gt.edu
4679,usr634@gt.edu
4692,usr636@gt.edu
4832,usr652@gt.edu
4903,usr661@gt.edu
4906,usr662@gt.edu
4937,usr666@gt.edu
4945,usr667@gt.edu
4962,usr670@gt.edu
4970,usr671@gt.edu
5008,usr676@gt.edu
5081,usr684@gt.edu
5089,usr685@gt.edu
5093,usr686@gt.edu
5107,usr688@gt.edu
5117,usr689@gt.edu
5121,usr690@gt.edu
5141,usr693@gt.edu
5147,usr693@gt.edu
5199,usr703@gt.edu
5228,usr707@gt.edu
5254,usr710@gt.edu
5262,usr711@gt.edu
5275,usr712@gt.edu
5313,usr718@gt.edu
5339,usr722@gt.edu
5354,usr723@gt.edu
5387,usr727@gt.edu
5433,usr733@gt.edu
5454,usr736@gt.edu
5492,usr740@gt.edu
5503,usr741@gt.edu
5576,usr750@gt.edu
5633,usr757@gt.edu
5635,usr757@gt.edu
5648,usr759@gt.edu
5650,usr759@gt.edu
5651,usr759@gt.edu
5655,usr759@gt.edu
5657,usr760@gt.edu
5660,usr760@gt.edu
5673,usr762@gt.edu
5699,usr766@gt.edu
5708,usr767@gt.edu
5719,usr769@gt.edu
5733,usr771@gt.edu
5784,usr777@gt.edu
5811,usr780@gt.edu
5826,usr782@gt.edu
5863,usr788@gt.edu
5888,usr791@gt.edu
5916,usr795@gt.edu
5934,usr797@gt.edu
5943,usr798@gt.edu
5977,usr803@gt.edu
6041,usr811@gt.edu
6050,usr812@gt.edu
6053,usr813@gt.edu
6083,usr817@gt.edu
6099,usr819@gt.edu
6102,usr819@gt.edu
6108,usr821@gt.edu
6117,usr822@gt.edu
6133,usr824@gt.edu
6145,usr826@gt.edu
6157,usr827@gt.edu
6175,usr829@gt.edu
6195,usr832@gt.edu
6250,usr840@gt.edu
6351,usr854@gt.edu
6353,usr855@gt.edu
6356,usr855@gt.edu
6378,usr858@gt.edu
6387,usr860@gt.edu
6396,usr862@gt.edu
6427,usr866@gt.edu
6433,usr867@gt.edu
6634,usr895@gt.edu
6659,usr898@gt.edu
6707,usr904@gt.edu
6715,usr904@gt.edu
6761,usr911@gt.edu
6793,usr918@gt.edu
6823,usr922@gt.edu
6830,usr923@gt.edu
6851,usr926@gt.edu
6868,usr927@gt.edu
6933,usr936@gt.edu
6948,usr938@gt.edu
6957,usr939@gt.edu
6981,usr941@gt.edu
7019,usr946@gt.edu
7215,usr973@gt.edu
7224,usr974@gt.edu
7228,usr975@gt.edu
7229,usr975@gt.edu
7231,usr975@gt.edu
7277,usr981@gt.edu
7308,usr985@gt.edu
7325,usr987@gt.edu
7340,usr989@gt.edu
7360,usr992@gt.edu
7414,usr999@gt.edu
