proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id
130,4205,usr018@gt.edu,usr569@gt.edu,2022-04-20,2022-04-25,accepted,proposer_emailusr018@gt.educounterparty_emailusr569@gt.eduproposer_item_no130counterparty_item_no4205
132,4798,usr018@gt.edu,usr648@gt.edu,2022-05-31,NULL,unaccepted,proposer_emailusr018@gt.educounterparty_emailusr648@gt.eduproposer_item_no132counterparty_item_no4798
135,3182,usr018@gt.edu,usr427@gt.edu,2022-04-15,2022-06-02,accepted,proposer_emailusr018@gt.educounterparty_emailusr427@gt.eduproposer_item_no135counterparty_item_no3182
136,5062,usr019@gt.edu,usr682@gt.edu,2022-04-29,2022-05-23,accepted,proposer_emailusr019@gt.educounterparty_emailusr682@gt.eduproposer_item_no136counterparty_item_no5062
136,6521,usr019@gt.edu,usr879@gt.edu,2022-04-19,2022-04-26,rejected,proposer_emailusr019@gt.educounterparty_emailusr879@gt.eduproposer_item_no136counterparty_item_no6521
137,92,usr019@gt.edu,usr013@gt.edu,2022-04-18,2022-04-27,rejected,proposer_emailusr019@gt.educounterparty_emailusr013@gt.eduproposer_item_no137counterparty_item_no92
137,2188,usr019@gt.edu,usr294@gt.edu,2022-04-28,2022-06-08,accepted,proposer_emailusr019@gt.educounterparty_emailusr294@gt.eduproposer_item_no137counterparty_item_no2188
138,83,usr019@gt.edu,usr011@gt.edu,2022-04-26,2022-05-24,accepted,proposer_emailusr019@gt.educounterparty_emailusr011@gt.eduproposer_item_no138counterparty_item_no83
139,3781,usr020@gt.edu,usr512@gt.edu,2022-04-26,2022-04-28,accepted,proposer_emailusr020@gt.educounterparty_emailusr512@gt.eduproposer_item_no139counterparty_item_no3781
141,2519,usr020@gt.edu,usr340@gt.edu,2022-04-21,2022-06-08,rejected,proposer_emailusr020@gt.educounterparty_emailusr340@gt.eduproposer_item_no141counterparty_item_no2519
143,2840,usr021@gt.edu,usr382@gt.edu,2022-05-31,2022-06-07,accepted,proposer_emailusr021@gt.educounterparty_emailusr382@gt.eduproposer_item_no143counterparty_item_no2840
146,6786,usr021@gt.edu,usr916@gt.edu,2022-04-25,2022-06-14,accepted,proposer_emailusr021@gt.educounterparty_emailusr916@gt.eduproposer_item_no146counterparty_item_no6786
150,1935,usr022@gt.edu,usr259@gt.edu,2022-04-21,2022-05-19,accepted,proposer_emailusr022@gt.educounterparty_emailusr259@gt.eduproposer_item_no150counterparty_item_no1935
151,3067,usr022@gt.edu,usr409@gt.edu,2022-04-25,2022-05-11,accepted,proposer_emailusr022@gt.educounterparty_emailusr409@gt.eduproposer_item_no151counterparty_item_no3067
154,6333,usr023@gt.edu,usr852@gt.edu,2022-04-15,2022-04-25,accepted,proposer_emailusr023@gt.educounterparty_emailusr852@gt.eduproposer_item_no154counterparty_item_no6333
158,2204,usr024@gt.edu,usr297@gt.edu,2022-05-05,2022-05-25,accepted,proposer_emailusr024@gt.educounterparty_emailusr297@gt.eduproposer_item_no158counterparty_item_no2204
161,5669,usr024@gt.edu,usr762@gt.edu,2022-04-20,2022-05-12,accepted,proposer_emailusr024@gt.educounterparty_emailusr762@gt.eduproposer_item_no161counterparty_item_no5669
163,4981,usr024@gt.edu,usr673@gt.edu,2022-05-10,2022-05-18,rejected,proposer_emailusr024@gt.educounterparty_emailusr673@gt.eduproposer_item_no163counterparty_item_no4981
167,5386,usr024@gt.edu,usr727@gt.edu,2022-04-22,2022-04-25,rejected,proposer_emailusr024@gt.educounterparty_emailusr727@gt.eduproposer_item_no167counterparty_item_no5386
170,2809,usr025@gt.edu,usr378@gt.edu,2022-04-20,2022-05-05,accepted,proposer_emailusr025@gt.educounterparty_emailusr378@gt.eduproposer_item_no170counterparty_item_no2809
171,2768,usr025@gt.edu,usr372@gt.edu,2022-04-25,2022-06-08,rejected,proposer_emailusr025@gt.educounterparty_emailusr372@gt.eduproposer_item_no171counterparty_item_no2768
172,6800,usr025@gt.edu,usr919@gt.edu,2022-04-15,2022-04-22,accepted,proposer_emailusr025@gt.educounterparty_emailusr919@gt.eduproposer_item_no172counterparty_item_no6800
174,1480,usr026@gt.edu,usr198@gt.edu,2022-04-18,2022-05-31,accepted,proposer_emailusr026@gt.educounterparty_emailusr198@gt.eduproposer_item_no174counterparty_item_no1480
176,3048,usr026@gt.edu,usr406@gt.edu,2022-04-15,2022-05-24,accepted,proposer_emailusr026@gt.educounterparty_emailusr406@gt.eduproposer_item_no176counterparty_item_no3048
179,2528,usr026@gt.edu,usr342@gt.edu,2022-05-10,2022-05-23,rejected,proposer_emailusr026@gt.educounterparty_emailusr342@gt.eduproposer_item_no179counterparty_item_no2528
181,2639,usr027@gt.edu,usr357@gt.edu,2022-04-18,2022-04-26,accepted,proposer_emailusr027@gt.educounterparty_emailusr357@gt.eduproposer_item_no181counterparty_item_no2639
182,446,usr027@gt.edu,usr060@gt.edu,2022-05-10,NULL,unaccepted,proposer_emailusr027@gt.educounterparty_emailusr060@gt.eduproposer_item_no182counterparty_item_no446
182,3865,usr027@gt.edu,usr523@gt.edu,2022-04-26,2022-05-10,rejected,proposer_emailusr027@gt.educounterparty_emailusr523@gt.eduproposer_item_no182counterparty_item_no3865
183,5097,usr027@gt.edu,usr687@gt.edu,2022-04-21,2022-04-26,accepted,proposer_emailusr027@gt.educounterparty_emailusr687@gt.eduproposer_item_no183counterparty_item_no5097
186,5788,usr028@gt.edu,usr777@gt.edu,2022-04-26,2022-05-03,accepted,proposer_emailusr028@gt.educounterparty_emailusr777@gt.eduproposer_item_no186counterparty_item_no5788
187,4633,usr028@gt.edu,usr627@gt.edu,2022-04-27,NULL,unaccepted,proposer_emailusr028@gt.educounterparty_emailusr627@gt.eduproposer_item_no187counterparty_item_no4633
188,5399,usr028@gt.edu,usr729@gt.edu,2022-05-16,2022-05-24,rejected,proposer_emailusr028@gt.educounterparty_emailusr729@gt.eduproposer_item_no188counterparty_item_no5399
189,2191,usr028@gt.edu,usr294@gt.edu,2022-04-19,2022-05-11,rejected,proposer_emailusr028@gt.educounterparty_emailusr294@gt.eduproposer_item_no189counterparty_item_no2191
189,4118,usr028@gt.edu,usr555@gt.edu,2022-05-12,2022-05-25,accepted,proposer_emailusr028@gt.educounterparty_emailusr555@gt.eduproposer_item_no189counterparty_item_no4118
190,3188,usr028@gt.edu,usr428@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr028@gt.educounterparty_emailusr428@gt.eduproposer_item_no190counterparty_item_no3188
191,595,usr028@gt.edu,usr082@gt.edu,2022-05-04,2022-06-01,accepted,proposer_emailusr028@gt.educounterparty_emailusr082@gt.eduproposer_item_no191counterparty_item_no595
193,6934,usr029@gt.edu,usr936@gt.edu,2022-05-20,2022-06-07,accepted,proposer_emailusr029@gt.educounterparty_emailusr936@gt.eduproposer_item_no193counterparty_item_no6934
194,6668,usr029@gt.edu,usr899@gt.edu,2022-04-20,2022-04-25,rejected,proposer_emailusr029@gt.educounterparty_emailusr899@gt.eduproposer_item_no194counterparty_item_no6668
195,5792,usr029@gt.edu,usr778@gt.edu,2022-04-22,2022-05-20,accepted,proposer_emailusr029@gt.educounterparty_emailusr778@gt.eduproposer_item_no195counterparty_item_no5792
196,6008,usr029@gt.edu,usr806@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr029@gt.educounterparty_emailusr806@gt.eduproposer_item_no196counterparty_item_no6008
197,7197,usr029@gt.edu,usr971@gt.edu,2022-04-21,2022-05-25,rejected,proposer_emailusr029@gt.educounterparty_emailusr971@gt.eduproposer_item_no197counterparty_item_no7197
198,4617,usr030@gt.edu,usr626@gt.edu,2022-04-19,2022-04-26,accepted,proposer_emailusr030@gt.educounterparty_emailusr626@gt.eduproposer_item_no198counterparty_item_no4617
199,1392,usr030@gt.edu,usr188@gt.edu,2022-05-30,2022-06-13,accepted,proposer_emailusr030@gt.educounterparty_emailusr188@gt.eduproposer_item_no199counterparty_item_no1392
200,2783,usr030@gt.edu,usr374@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr030@gt.educounterparty_emailusr374@gt.eduproposer_item_no200counterparty_item_no2783
211,1052,usr031@gt.edu,usr142@gt.edu,2022-04-27,2022-05-17,rejected,proposer_emailusr031@gt.educounterparty_emailusr142@gt.eduproposer_item_no211counterparty_item_no1052
211,5400,usr031@gt.edu,usr730@gt.edu,2022-06-01,2022-06-03,rejected,proposer_emailusr031@gt.educounterparty_emailusr730@gt.eduproposer_item_no211counterparty_item_no5400
212,6518,usr031@gt.edu,usr879@gt.edu,2022-04-25,2022-05-13,rejected,proposer_emailusr031@gt.educounterparty_emailusr879@gt.eduproposer_item_no212counterparty_item_no6518
213,1496,usr031@gt.edu,usr201@gt.edu,2022-05-12,2022-05-23,accepted,proposer_emailusr031@gt.educounterparty_emailusr201@gt.eduproposer_item_no213counterparty_item_no1496
213,5071,usr031@gt.edu,usr683@gt.edu,2022-04-19,2022-05-12,rejected,proposer_emailusr031@gt.educounterparty_emailusr683@gt.eduproposer_item_no213counterparty_item_no5071
214,4636,usr031@gt.edu,usr628@gt.edu,2022-05-19,2022-05-26,accepted,proposer_emailusr031@gt.educounterparty_emailusr628@gt.eduproposer_item_no214counterparty_item_no4636
219,1910,usr032@gt.edu,usr255@gt.edu,2022-04-20,2022-04-29,accepted,proposer_emailusr032@gt.educounterparty_emailusr255@gt.eduproposer_item_no219counterparty_item_no1910
221,4860,usr032@gt.edu,usr656@gt.edu,2022-05-04,2022-05-20,accepted,proposer_emailusr032@gt.educounterparty_emailusr656@gt.eduproposer_item_no221counterparty_item_no4860
222,700,usr033@gt.edu,usr093@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr033@gt.educounterparty_emailusr093@gt.eduproposer_item_no222counterparty_item_no700
222,874,usr033@gt.edu,usr116@gt.edu,2022-04-15,2022-04-29,rejected,proposer_emailusr033@gt.educounterparty_emailusr116@gt.eduproposer_item_no222counterparty_item_no874
223,2743,usr033@gt.edu,usr370@gt.edu,2022-05-06,2022-05-18,accepted,proposer_emailusr033@gt.educounterparty_emailusr370@gt.eduproposer_item_no223counterparty_item_no2743
224,3312,usr033@gt.edu,usr447@gt.edu,2022-04-19,2022-05-30,rejected,proposer_emailusr033@gt.educounterparty_emailusr447@gt.eduproposer_item_no224counterparty_item_no3312
225,5919,usr033@gt.edu,usr796@gt.edu,2022-04-25,2022-05-03,accepted,proposer_emailusr033@gt.educounterparty_emailusr796@gt.eduproposer_item_no225counterparty_item_no5919
226,984,usr034@gt.edu,usr132@gt.edu,2022-05-05,2022-05-06,rejected,proposer_emailusr034@gt.educounterparty_emailusr132@gt.eduproposer_item_no226counterparty_item_no984
227,1016,usr034@gt.edu,usr138@gt.edu,2022-04-22,2022-05-05,accepted,proposer_emailusr034@gt.educounterparty_emailusr138@gt.eduproposer_item_no227counterparty_item_no1016
229,1246,usr034@gt.edu,usr168@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr034@gt.educounterparty_emailusr168@gt.eduproposer_item_no229counterparty_item_no1246
237,1274,usr035@gt.edu,usr173@gt.edu,2022-05-09,2022-05-11,rejected,proposer_emailusr035@gt.educounterparty_emailusr173@gt.eduproposer_item_no237counterparty_item_no1274
239,6434,usr035@gt.edu,usr867@gt.edu,2022-04-21,2022-05-06,rejected,proposer_emailusr035@gt.educounterparty_emailusr867@gt.eduproposer_item_no239counterparty_item_no6434
241,5904,usr035@gt.edu,usr793@gt.edu,2022-04-15,2022-04-27,accepted,proposer_emailusr035@gt.educounterparty_emailusr793@gt.eduproposer_item_no241counterparty_item_no5904
242,5726,usr036@gt.edu,usr770@gt.edu,2022-05-06,2022-06-08,rejected,proposer_emailusr036@gt.educounterparty_emailusr770@gt.eduproposer_item_no242counterparty_item_no5726
246,4511,usr036@gt.edu,usr611@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr036@gt.educounterparty_emailusr611@gt.eduproposer_item_no246counterparty_item_no4511
247,449,usr036@gt.edu,usr060@gt.edu,2022-05-18,2022-05-19,accepted,proposer_emailusr036@gt.educounterparty_emailusr060@gt.eduproposer_item_no247counterparty_item_no449
249,4737,usr036@gt.edu,usr640@gt.edu,2022-04-27,2022-06-13,accepted,proposer_emailusr036@gt.educounterparty_emailusr640@gt.eduproposer_item_no249counterparty_item_no4737
250,1922,usr037@gt.edu,usr257@gt.edu,2022-04-20,2022-05-04,accepted,proposer_emailusr037@gt.educounterparty_emailusr257@gt.eduproposer_item_no250counterparty_item_no1922
253,1180,usr037@gt.edu,usr159@gt.edu,2022-04-19,2022-04-29,rejected,proposer_emailusr037@gt.educounterparty_emailusr159@gt.eduproposer_item_no253counterparty_item_no1180
253,2864,usr037@gt.edu,usr385@gt.edu,2022-05-13,2022-06-14,rejected,proposer_emailusr037@gt.educounterparty_emailusr385@gt.eduproposer_item_no253counterparty_item_no2864
254,1614,usr038@gt.edu,usr214@gt.edu,2022-04-20,2022-04-26,accepted,proposer_emailusr038@gt.educounterparty_emailusr214@gt.eduproposer_item_no254counterparty_item_no1614
256,5903,usr038@gt.edu,usr793@gt.edu,2022-04-28,2022-05-04,accepted,proposer_emailusr038@gt.educounterparty_emailusr793@gt.eduproposer_item_no256counterparty_item_no5903
258,6088,usr038@gt.edu,usr818@gt.edu,2022-06-10,NULL,unaccepted,proposer_emailusr038@gt.educounterparty_emailusr818@gt.eduproposer_item_no258counterparty_item_no6088
264,4211,usr038@gt.edu,usr570@gt.edu,2022-04-18,2022-05-09,accepted,proposer_emailusr038@gt.educounterparty_emailusr570@gt.eduproposer_item_no264counterparty_item_no4211
265,2792,usr039@gt.edu,usr376@gt.edu,2022-05-25,2022-06-09,rejected,proposer_emailusr039@gt.educounterparty_emailusr376@gt.eduproposer_item_no265counterparty_item_no2792
265,6377,usr039@gt.edu,usr858@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr039@gt.educounterparty_emailusr858@gt.eduproposer_item_no265counterparty_item_no6377
266,143,usr039@gt.edu,usr021@gt.edu,2022-05-24,2022-05-27,rejected,proposer_emailusr039@gt.educounterparty_emailusr021@gt.eduproposer_item_no266counterparty_item_no143
268,4754,usr039@gt.edu,usr643@gt.edu,2022-05-17,2022-05-23,rejected,proposer_emailusr039@gt.educounterparty_emailusr643@gt.eduproposer_item_no268counterparty_item_no4754
269,1216,usr039@gt.edu,usr164@gt.edu,2022-05-12,NULL,unaccepted,proposer_emailusr039@gt.educounterparty_emailusr164@gt.eduproposer_item_no269counterparty_item_no1216
271,7068,usr039@gt.edu,usr952@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr039@gt.educounterparty_emailusr952@gt.eduproposer_item_no271counterparty_item_no7068
272,6659,usr039@gt.edu,usr898@gt.edu,2022-06-07,2022-06-08,accepted,proposer_emailusr039@gt.educounterparty_emailusr898@gt.eduproposer_item_no272counterparty_item_no6659
274,4276,usr039@gt.edu,usr578@gt.edu,2022-05-27,NULL,unaccepted,proposer_emailusr039@gt.educounterparty_emailusr578@gt.eduproposer_item_no274counterparty_item_no4276
275,3335,usr040@gt.edu,usr451@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr040@gt.educounterparty_emailusr451@gt.eduproposer_item_no275counterparty_item_no3335
277,5848,usr040@gt.edu,usr785@gt.edu,2022-05-17,2022-06-06,rejected,proposer_emailusr040@gt.educounterparty_emailusr785@gt.eduproposer_item_no277counterparty_item_no5848
278,1428,usr040@gt.edu,usr193@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr040@gt.educounterparty_emailusr193@gt.eduproposer_item_no278counterparty_item_no1428
279,1210,usr040@gt.edu,usr163@gt.edu,2022-04-18,2022-04-20,rejected,proposer_emailusr040@gt.educounterparty_emailusr163@gt.eduproposer_item_no279counterparty_item_no1210
280,460,usr040@gt.edu,usr063@gt.edu,2022-04-25,2022-04-28,accepted,proposer_emailusr040@gt.educounterparty_emailusr063@gt.eduproposer_item_no280counterparty_item_no460
281,323,usr040@gt.edu,usr046@gt.edu,2022-04-29,2022-05-25,rejected,proposer_emailusr040@gt.educounterparty_emailusr046@gt.eduproposer_item_no281counterparty_item_no323
283,53,usr041@gt.edu,usr008@gt.edu,2022-04-19,2022-04-25,rejected,proposer_emailusr041@gt.educounterparty_emailusr008@gt.eduproposer_item_no283counterparty_item_no53
284,1644,usr041@gt.edu,usr217@gt.edu,2022-04-18,2022-05-17,rejected,proposer_emailusr041@gt.educounterparty_emailusr217@gt.eduproposer_item_no284counterparty_item_no1644
