proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id,proposed_date1,accept_reject_date1
172,6800,usr025@gt.edu,usr919@gt.edu,2022-04-15,2022-04-22,accepted,proposer_emailusr025@gt.educounterparty_emailusr919@gt.eduproposer_item_no172counterparty_item_no6800,2022-04-15,2022-04-22
174,1480,usr026@gt.edu,usr198@gt.edu,2022-04-18,2022-05-31,accepted,proposer_emailusr026@gt.educounterparty_emailusr198@gt.eduproposer_item_no174counterparty_item_no1480,2022-04-18,2022-05-31
176,3048,usr026@gt.edu,usr406@gt.edu,2022-04-15,2022-05-24,accepted,proposer_emailusr026@gt.educounterparty_emailusr406@gt.eduproposer_item_no176counterparty_item_no3048,2022-04-15,2022-05-24
179,2528,usr026@gt.edu,usr342@gt.edu,2022-05-10,2022-05-23,rejected,proposer_emailusr026@gt.educounterparty_emailusr342@gt.eduproposer_item_no179counterparty_item_no2528,2022-05-10,2022-05-23
181,2639,usr027@gt.edu,usr357@gt.edu,2022-04-18,2022-04-26,accepted,proposer_emailusr027@gt.educounterparty_emailusr357@gt.eduproposer_item_no181counterparty_item_no2639,2022-04-18,2022-04-26
182,446,usr027@gt.edu,usr060@gt.edu,2022-05-10,NULL,unaccepted,proposer_emailusr027@gt.educounterparty_emailusr060@gt.eduproposer_item_no182counterparty_item_no446,2022-05-10,NULL
182,3865,usr027@gt.edu,usr523@gt.edu,2022-04-26,2022-05-10,rejected,proposer_emailusr027@gt.educounterparty_emailusr523@gt.eduproposer_item_no182counterparty_item_no3865,2022-04-26,2022-05-10
183,5097,usr027@gt.edu,usr687@gt.edu,2022-04-21,2022-04-26,accepted,proposer_emailusr027@gt.educounterparty_emailusr687@gt.eduproposer_item_no183counterparty_item_no5097,2022-04-21,2022-04-26
186,5788,usr028@gt.edu,usr777@gt.edu,2022-04-26,2022-05-03,accepted,proposer_emailusr028@gt.educounterparty_emailusr777@gt.eduproposer_item_no186counterparty_item_no5788,2022-04-26,2022-05-03
187,4633,usr028@gt.edu,usr627@gt.edu,2022-04-27,NULL,unaccepted,proposer_emailusr028@gt.educounterparty_emailusr627@gt.eduproposer_item_no187counterparty_item_no4633,2022-04-27,NULL
188,5399,usr028@gt.edu,usr729@gt.edu,2022-05-16,2022-05-24,rejected,proposer_emailusr028@gt.educounterparty_emailusr729@gt.eduproposer_item_no188counterparty_item_no5399,2022-05-16,2022-05-24
189,2191,usr028@gt.edu,usr294@gt.edu,2022-04-19,2022-05-11,rejected,proposer_emailusr028@gt.educounterparty_emailusr294@gt.eduproposer_item_no189counterparty_item_no2191,2022-04-19,2022-05-11
189,4118,usr028@gt.edu,usr555@gt.edu,2022-05-12,2022-05-25,accepted,proposer_emailusr028@gt.educounterparty_emailusr555@gt.eduproposer_item_no189counterparty_item_no4118,2022-05-12,2022-05-25
190,3188,usr028@gt.edu,usr428@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr028@gt.educounterparty_emailusr428@gt.eduproposer_item_no190counterparty_item_no3188,2022-05-26,NULL
191,595,usr028@gt.edu,usr082@gt.edu,2022-05-04,2022-06-01,accepted,proposer_emailusr028@gt.educounterparty_emailusr082@gt.eduproposer_item_no191counterparty_item_no595,2022-05-04,2022-06-01
193,6934,usr029@gt.edu,usr936@gt.edu,2022-05-20,2022-06-07,accepted,proposer_emailusr029@gt.educounterparty_emailusr936@gt.eduproposer_item_no193counterparty_item_no6934,2022-05-20,2022-06-07
194,6668,usr029@gt.edu,usr899@gt.edu,2022-04-20,2022-04-25,rejected,proposer_emailusr029@gt.educounterparty_emailusr899@gt.eduproposer_item_no194counterparty_item_no6668,2022-04-20,2022-04-25
195,5792,usr029@gt.edu,usr778@gt.edu,2022-04-22,2022-05-20,accepted,proposer_emailusr029@gt.educounterparty_emailusr778@gt.eduproposer_item_no195counterparty_item_no5792,2022-04-22,2022-05-20
196,6008,usr029@gt.edu,usr806@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr029@gt.educounterparty_emailusr806@gt.eduproposer_item_no196counterparty_item_no6008,2022-05-30,NULL
197,7197,usr029@gt.edu,usr971@gt.edu,2022-04-21,2022-05-25,rejected,proposer_emailusr029@gt.educounterparty_emailusr971@gt.eduproposer_item_no197counterparty_item_no7197,2022-04-21,2022-05-25
198,4617,usr030@gt.edu,usr626@gt.edu,2022-04-19,2022-04-26,accepted,proposer_emailusr030@gt.educounterparty_emailusr626@gt.eduproposer_item_no198counterparty_item_no4617,2022-04-19,2022-04-26
199,1392,usr030@gt.edu,usr188@gt.edu,2022-05-30,2022-06-13,accepted,proposer_emailusr030@gt.educounterparty_emailusr188@gt.eduproposer_item_no199counterparty_item_no1392,2022-05-30,2022-06-13
200,2783,usr030@gt.edu,usr374@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr030@gt.educounterparty_emailusr374@gt.eduproposer_item_no200counterparty_item_no2783,2022-05-26,NULL
211,1052,usr031@gt.edu,usr142@gt.edu,2022-04-27,2022-05-17,rejected,proposer_emailusr031@gt.educounterparty_emailusr142@gt.eduproposer_item_no211counterparty_item_no1052,2022-04-27,2022-05-17
211,5400,usr031@gt.edu,usr730@gt.edu,2022-06-01,2022-06-03,rejected,proposer_emailusr031@gt.educounterparty_emailusr730@gt.eduproposer_item_no211counterparty_item_no5400,2022-06-01,2022-06-03
212,6518,usr031@gt.edu,usr879@gt.edu,2022-04-25,2022-05-13,rejected,proposer_emailusr031@gt.educounterparty_emailusr879@gt.eduproposer_item_no212counterparty_item_no6518,2022-04-25,2022-05-13
213,1496,usr031@gt.edu,usr201@gt.edu,2022-05-12,2022-05-23,accepted,proposer_emailusr031@gt.educounterparty_emailusr201@gt.eduproposer_item_no213counterparty_item_no1496,2022-05-12,2022-05-23
213,5071,usr031@gt.edu,usr683@gt.edu,2022-04-19,2022-05-12,rejected,proposer_emailusr031@gt.educounterparty_emailusr683@gt.eduproposer_item_no213counterparty_item_no5071,2022-04-19,2022-05-12
214,4636,usr031@gt.edu,usr628@gt.edu,2022-05-19,2022-05-26,accepted,proposer_emailusr031@gt.educounterparty_emailusr628@gt.eduproposer_item_no214counterparty_item_no4636,2022-05-19,2022-05-26
219,1910,usr032@gt.edu,usr255@gt.edu,2022-04-20,2022-04-29,accepted,proposer_emailusr032@gt.educounterparty_emailusr255@gt.eduproposer_item_no219counterparty_item_no1910,2022-04-20,2022-04-29
221,4860,usr032@gt.edu,usr656@gt.edu,2022-05-04,2022-05-20,accepted,proposer_emailusr032@gt.educounterparty_emailusr656@gt.eduproposer_item_no221counterparty_item_no4860,2022-05-04,2022-05-20
222,700,usr033@gt.edu,usr093@gt.edu,2022-05-05,NULL,unaccepted,proposer_emailusr033@gt.educounterparty_emailusr093@gt.eduproposer_item_no222counterparty_item_no700,2022-05-05,NULL
222,874,usr033@gt.edu,usr116@gt.edu,2022-04-15,2022-04-29,rejected,proposer_emailusr033@gt.educounterparty_emailusr116@gt.eduproposer_item_no222counterparty_item_no874,2022-04-15,2022-04-29
223,2743,usr033@gt.edu,usr370@gt.edu,2022-05-06,2022-05-18,accepted,proposer_emailusr033@gt.educounterparty_emailusr370@gt.eduproposer_item_no223counterparty_item_no2743,2022-05-06,2022-05-18
224,3312,usr033@gt.edu,usr447@gt.edu,2022-04-19,2022-05-30,rejected,proposer_emailusr033@gt.educounterparty_emailusr447@gt.eduproposer_item_no224counterparty_item_no3312,2022-04-19,2022-05-30
225,5919,usr033@gt.edu,usr796@gt.edu,2022-04-25,2022-05-03,accepted,proposer_emailusr033@gt.educounterparty_emailusr796@gt.eduproposer_item_no225counterparty_item_no5919,2022-04-25,2022-05-03
226,984,usr034@gt.edu,usr132@gt.edu,2022-05-05,2022-05-06,rejected,proposer_emailusr034@gt.educounterparty_emailusr132@gt.eduproposer_item_no226counterparty_item_no984,2022-05-05,2022-05-06
227,1016,usr034@gt.edu,usr138@gt.edu,2022-04-22,2022-05-05,accepted,proposer_emailusr034@gt.educounterparty_emailusr138@gt.eduproposer_item_no227counterparty_item_no1016,2022-04-22,2022-05-05
229,1246,usr034@gt.edu,usr168@gt.edu,2022-04-18,NULL,unaccepted,proposer_emailusr034@gt.educounterparty_emailusr168@gt.eduproposer_item_no229counterparty_item_no1246,2022-04-18,NULL
237,1274,usr035@gt.edu,usr173@gt.edu,2022-05-09,2022-05-11,rejected,proposer_emailusr035@gt.educounterparty_emailusr173@gt.eduproposer_item_no237counterparty_item_no1274,2022-05-09,2022-05-11
239,6434,usr035@gt.edu,usr867@gt.edu,2022-04-21,2022-05-06,rejected,proposer_emailusr035@gt.educounterparty_emailusr867@gt.eduproposer_item_no239counterparty_item_no6434,2022-04-21,2022-05-06
241,5904,usr035@gt.edu,usr793@gt.edu,2022-04-15,2022-04-27,accepted,proposer_emailusr035@gt.educounterparty_emailusr793@gt.eduproposer_item_no241counterparty_item_no5904,2022-04-15,2022-04-27
242,5726,usr036@gt.edu,usr770@gt.edu,2022-05-06,2022-06-08,rejected,proposer_emailusr036@gt.educounterparty_emailusr770@gt.eduproposer_item_no242counterparty_item_no5726,2022-05-06,2022-06-08
246,4511,usr036@gt.edu,usr611@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr036@gt.educounterparty_emailusr611@gt.eduproposer_item_no246counterparty_item_no4511,2022-05-04,NULL
247,449,usr036@gt.edu,usr060@gt.edu,2022-05-18,2022-05-19,accepted,proposer_emailusr036@gt.educounterparty_emailusr060@gt.eduproposer_item_no247counterparty_item_no449,2022-05-18,2022-05-19
249,4737,usr036@gt.edu,usr640@gt.edu,2022-04-27,2022-06-13,accepted,proposer_emailusr036@gt.educounterparty_emailusr640@gt.eduproposer_item_no249counterparty_item_no4737,2022-04-27,2022-06-13
250,1922,usr037@gt.edu,usr257@gt.edu,2022-04-20,2022-05-04,accepted,proposer_emailusr037@gt.educounterparty_emailusr257@gt.eduproposer_item_no250counterparty_item_no1922,2022-04-20,2022-05-04
253,1180,usr037@gt.edu,usr159@gt.edu,2022-04-19,2022-04-29,rejected,proposer_emailusr037@gt.educounterparty_emailusr159@gt.eduproposer_item_no253counterparty_item_no1180,2022-04-19,2022-04-29
253,2864,usr037@gt.edu,usr385@gt.edu,2022-05-13,2022-06-14,rejected,proposer_emailusr037@gt.educounterparty_emailusr385@gt.eduproposer_item_no253counterparty_item_no2864,2022-05-13,2022-06-14
254,1614,usr038@gt.edu,usr214@gt.edu,2022-04-20,2022-04-26,accepted,proposer_emailusr038@gt.educounterparty_emailusr214@gt.eduproposer_item_no254counterparty_item_no1614,2022-04-20,2022-04-26
